condition,scope,writer_target,stage,observations,mean,minimum,p25,median,p75,maximum
capacity_2x,pooled,,final,60,270.15,127.0,171.25,272.0,343.25,515.0
capacity_2x,pooled,,per_update,330,164.1939393939394,10.0,125.0,135.0,246.0,515.0
capacity_2x,writer,nemotron_3_ultra_baseten,final,12,226.5,127.0,176.5,250.0,274.25,292.0
capacity_2x,writer,nemotron_3_ultra_baseten,per_update,66,133.56060606060606,10.0,125.0,130.0,147.5,292.0
capacity_2x,writer,grok_4_3_openrouter,final,12,172.33333333333334,129.0,143.75,157.5,181.75,270.0
capacity_2x,writer,grok_4_3_openrouter,per_update,66,121.89393939393939,10.0,124.25,130.0,137.0,270.0
capacity_2x,writer,kimi_baseten,final,12,326.3333333333333,164.0,238.0,296.0,408.75,515.0
capacity_2x,writer,kimi_baseten,per_update,66,200.3181818181818,10.0,125.5,149.5,282.0,515.0
capacity_2x,writer,glm_5_2_baseten,final,12,327.25,148.0,299.0,328.0,378.25,468.0
capacity_2x,writer,glm_5_2_baseten,per_update,66,178.22727272727272,10.0,125.0,148.0,268.75,505.0
capacity_2x,writer,qwen_plus_0728_openrouter,final,12,298.3333333333333,135.0,261.0,298.0,367.75,408.0
capacity_2x,writer,qwen_plus_0728_openrouter,per_update,66,186.96969696969697,10.0,125.0,157.0,265.0,408.0
capacity_nonbinding,pooled,,final,60,293.26666666666665,127.0,197.5,277.5,361.75,690.0
capacity_nonbinding,pooled,,per_update,330,167.6060606060606,10.0,125.0,136.0,244.0,690.0
capacity_nonbinding,writer,nemotron_3_ultra_baseten,final,12,233.25,127.0,142.75,220.5,294.75,413.0
capacity_nonbinding,writer,nemotron_3_ultra_baseten,per_update,66,144.07575757575756,10.0,125.0,129.0,152.5,413.0
capacity_nonbinding,writer,grok_4_3_openrouter,final,12,204.08333333333334,130.0,145.25,202.0,258.0,304.0
capacity_nonbinding,writer,grok_4_3_openrouter,per_update,66,131.4848484848485,10.0,125.0,130.0,137.0,304.0
capacity_nonbinding,writer,kimi_baseten,final,12,380.25,173.0,291.25,350.5,478.5,690.0
capacity_nonbinding,writer,kimi_baseten,per_update,66,204.25757575757575,10.0,125.0,163.0,281.25,690.0
capacity_nonbinding,writer,glm_5_2_baseten,final,12,311.4166666666667,184.0,214.25,310.0,361.75,570.0
capacity_nonbinding,writer,glm_5_2_baseten,per_update,66,171.36363636363637,10.0,125.5,154.0,216.75,570.0
capacity_nonbinding,writer,qwen_plus_0728_openrouter,final,12,337.3333333333333,244.0,268.0,281.0,415.75,544.0
capacity_nonbinding,writer,qwen_plus_0728_openrouter,per_update,66,186.84848484848484,10.0,125.5,144.5,255.75,544.0
