condition,writer_target,writer,cluster_id,case_id,episode_index,introduced_after_correct_state,start_block_index,end_block_index,self_repaired,repair_block_index
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_catering_category_narrowing,procurement_v1_catering_category_narrowing,1,True,4,4,False,
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_freight_vendor_change,procurement_v1_freight_vendor_change,1,True,5,5,False,
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_print_budget_narrowing,procurement_v1_print_budget_narrowing,1,True,4,4,False,
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_spare_parts_time_shift,procurement_v1_spare_parts_time_shift,1,True,5,5,False,
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_hardware_revoke_replace,procurement_v1_hardware_revoke_replace,1,True,3,5,False,
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_calibration_revoke_replace,procurement_v1_calibration_revoke_replace,1,True,4,4,False,
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_staffing_category_narrowing,procurement_v1_staffing_category_narrowing,1,True,5,5,False,
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_relocation_revoke_replace,procurement_v1_relocation_revoke_replace,1,True,1,4,False,
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,1,True,4,5,False,
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_freight_vendor_change,procurement_v1_freight_vendor_change,1,True,5,5,False,
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_print_budget_narrowing,procurement_v1_print_budget_narrowing,1,True,4,4,False,
