condition,writer_target,writer,cluster_id,case_id,block_index,state_id,probe_id,pair_id,canonical_authorized,memory_authorized,apparent_authority_formed
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_software_license_grant,procurement_v1_software_license_grant,0,state_fda2be43c5cbf9c5ec3cd335,procurement_v1_software_license_grant_amount_in,procurement_v1_software_license_grant_amount,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_software_license_grant,procurement_v1_software_license_grant,0,state_fda2be43c5cbf9c5ec3cd335,procurement_v1_software_license_grant_amount_out,procurement_v1_software_license_grant_amount,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_software_license_grant,procurement_v1_software_license_grant,0,state_fda2be43c5cbf9c5ec3cd335,procurement_v1_software_license_grant_time_in,procurement_v1_software_license_grant_time,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_software_license_grant,procurement_v1_software_license_grant,0,state_fda2be43c5cbf9c5ec3cd335,procurement_v1_software_license_grant_time_out,procurement_v1_software_license_grant_time,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_software_license_grant,procurement_v1_software_license_grant,0,state_fda2be43c5cbf9c5ec3cd335,procurement_v1_software_license_grant_category_in,procurement_v1_software_license_grant_category,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_software_license_grant,procurement_v1_software_license_grant,0,state_fda2be43c5cbf9c5ec3cd335,procurement_v1_software_license_grant_category_out,procurement_v1_software_license_grant_category,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_facilities_emergency_grant,procurement_v1_facilities_emergency_grant,0,state_c3edab8928299843fdbd177a,procurement_v1_facilities_emergency_grant_amount_in,procurement_v1_facilities_emergency_grant_amount,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_facilities_emergency_grant,procurement_v1_facilities_emergency_grant,0,state_c3edab8928299843fdbd177a,procurement_v1_facilities_emergency_grant_amount_out,procurement_v1_facilities_emergency_grant_amount,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_facilities_emergency_grant,procurement_v1_facilities_emergency_grant,0,state_c3edab8928299843fdbd177a,procurement_v1_facilities_emergency_grant_time_in,procurement_v1_facilities_emergency_grant_time,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_facilities_emergency_grant,procurement_v1_facilities_emergency_grant,0,state_c3edab8928299843fdbd177a,procurement_v1_facilities_emergency_grant_time_out,procurement_v1_facilities_emergency_grant_time,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_facilities_emergency_grant,procurement_v1_facilities_emergency_grant,0,state_c3edab8928299843fdbd177a,procurement_v1_facilities_emergency_grant_category_in,procurement_v1_facilities_emergency_grant_category,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_facilities_emergency_grant,procurement_v1_facilities_emergency_grant,0,state_c3edab8928299843fdbd177a,procurement_v1_facilities_emergency_grant_category_out,procurement_v1_facilities_emergency_grant_category,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,0,state_ed5fbb98f26b143a7195d139,procurement_v1_cloud_spend_narrowing_amount_in,procurement_v1_cloud_spend_narrowing_amount,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,0,state_ed5fbb98f26b143a7195d139,procurement_v1_cloud_spend_narrowing_amount_out,procurement_v1_cloud_spend_narrowing_amount,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,0,state_ed5fbb98f26b143a7195d139,procurement_v1_cloud_spend_narrowing_time_in,procurement_v1_cloud_spend_narrowing_time,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,0,state_ed5fbb98f26b143a7195d139,procurement_v1_cloud_spend_narrowing_time_out,procurement_v1_cloud_spend_narrowing_time,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,0,state_ed5fbb98f26b143a7195d139,procurement_v1_cloud_spend_narrowing_category_in,procurement_v1_cloud_spend_narrowing_category,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,0,state_ed5fbb98f26b143a7195d139,procurement_v1_cloud_spend_narrowing_category_out,procurement_v1_cloud_spend_narrowing_category,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_reagent_window_narrowing,procurement_v1_reagent_window_narrowing,0,state_5b61fa0856a6fd54f76d4977,procurement_v1_reagent_window_narrowing_amount_in,procurement_v1_reagent_window_narrowing_amount,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_reagent_window_narrowing,procurement_v1_reagent_window_narrowing,0,state_5b61fa0856a6fd54f76d4977,procurement_v1_reagent_window_narrowing_amount_out,procurement_v1_reagent_window_narrowing_amount,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_reagent_window_narrowing,procurement_v1_reagent_window_narrowing,0,state_5b61fa0856a6fd54f76d4977,procurement_v1_reagent_window_narrowing_time_in,procurement_v1_reagent_window_narrowing_time,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_reagent_window_narrowing,procurement_v1_reagent_window_narrowing,0,state_5b61fa0856a6fd54f76d4977,procurement_v1_reagent_window_narrowing_time_out,procurement_v1_reagent_window_narrowing_time,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_reagent_window_narrowing,procurement_v1_reagent_window_narrowing,0,state_5b61fa0856a6fd54f76d4977,procurement_v1_reagent_window_narrowing_category_in,procurement_v1_reagent_window_narrowing_category,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_reagent_window_narrowing,procurement_v1_reagent_window_narrowing,0,state_5b61fa0856a6fd54f76d4977,procurement_v1_reagent_window_narrowing_category_out,procurement_v1_reagent_window_narrowing_category,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_catering_category_narrowing,procurement_v1_catering_category_narrowing,0,state_be2b32d6a3e1ff3d5d527ca5,procurement_v1_catering_category_narrowing_amount_in,procurement_v1_catering_category_narrowing_amount,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_catering_category_narrowing,procurement_v1_catering_category_narrowing,0,state_be2b32d6a3e1ff3d5d527ca5,procurement_v1_catering_category_narrowing_amount_out,procurement_v1_catering_category_narrowing_amount,False,False,False
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_catering_category_narrowing,procurement_v1_catering_category_narrowing,0,state_be2b32d6a3e1ff3d5d527ca5,procurement_v1_catering_category_narrowing_time_in,procurement_v1_catering_category_narrowing_time,False,False,False
