condition,scope,writer_target,stage,observations,mean,minimum,p25,median,p75,maximum,above_572_count,above_1144_count,above_2288_count,above_572_fraction,above_1144_fraction,above_2288_fraction
capacity_2x,pooled,,final,60,270.15,127.0,171.25,272.0,343.25,515.0,0,0,0,0.0,0.0,0.0
capacity_2x,pooled,,per_update,330,164.1939393939394,10.0,125.0,135.0,246.0,515.0,0,0,0,0.0,0.0,0.0
capacity_2x,writer,nemotron_3_ultra_baseten,final,12,226.5,127.0,176.5,250.0,274.25,292.0,0,0,0,0.0,0.0,0.0
capacity_2x,writer,nemotron_3_ultra_baseten,per_update,66,133.56060606060606,10.0,125.0,130.0,147.5,292.0,0,0,0,0.0,0.0,0.0
capacity_2x,writer,grok_4_3_openrouter,final,12,172.33333333333334,129.0,143.75,157.5,181.75,270.0,0,0,0,0.0,0.0,0.0
capacity_2x,writer,grok_4_3_openrouter,per_update,66,121.89393939393939,10.0,124.25,130.0,137.0,270.0,0,0,0,0.0,0.0,0.0
capacity_2x,writer,kimi_baseten,final,12,326.3333333333333,164.0,238.0,296.0,408.75,515.0,0,0,0,0.0,0.0,0.0
capacity_2x,writer,kimi_baseten,per_update,66,200.3181818181818,10.0,125.5,149.5,282.0,515.0,0,0,0,0.0,0.0,0.0
capacity_2x,writer,glm_5_2_baseten,final,12,327.25,148.0,299.0,328.0,378.25,468.0,0,0,0,0.0,0.0,0.0
capacity_2x,writer,glm_5_2_baseten,per_update,66,178.22727272727272,10.0,125.0,148.0,268.75,505.0,0,0,0,0.0,0.0,0.0
capacity_2x,writer,qwen_plus_0728_openrouter,final,12,298.3333333333333,135.0,261.0,298.0,367.75,408.0,0,0,0,0.0,0.0,0.0
capacity_2x,writer,qwen_plus_0728_openrouter,per_update,66,186.96969696969697,10.0,125.0,157.0,265.0,408.0,0,0,0,0.0,0.0,0.0
capacity_nonbinding,pooled,,final,60,293.26666666666665,127.0,197.5,277.5,361.75,690.0,1,0,0,0.016666666666666666,0.0,0.0
capacity_nonbinding,pooled,,per_update,330,167.6060606060606,10.0,125.0,136.0,244.0,690.0,1,0,0,0.0030303030303030303,0.0,0.0
capacity_nonbinding,writer,nemotron_3_ultra_baseten,final,12,233.25,127.0,142.75,220.5,294.75,413.0,0,0,0,0.0,0.0,0.0
capacity_nonbinding,writer,nemotron_3_ultra_baseten,per_update,66,144.07575757575756,10.0,125.0,129.0,152.5,413.0,0,0,0,0.0,0.0,0.0
capacity_nonbinding,writer,grok_4_3_openrouter,final,12,204.08333333333334,130.0,145.25,202.0,258.0,304.0,0,0,0,0.0,0.0,0.0
capacity_nonbinding,writer,grok_4_3_openrouter,per_update,66,131.4848484848485,10.0,125.0,130.0,137.0,304.0,0,0,0,0.0,0.0,0.0
capacity_nonbinding,writer,kimi_baseten,final,12,380.25,173.0,291.25,350.5,478.5,690.0,1,0,0,0.08333333333333333,0.0,0.0
capacity_nonbinding,writer,kimi_baseten,per_update,66,204.25757575757575,10.0,125.0,163.0,281.25,690.0,1,0,0,0.015151515151515152,0.0,0.0
capacity_nonbinding,writer,glm_5_2_baseten,final,12,311.4166666666667,184.0,214.25,310.0,361.75,570.0,0,0,0,0.0,0.0,0.0
capacity_nonbinding,writer,glm_5_2_baseten,per_update,66,171.36363636363637,10.0,125.5,154.0,216.75,570.0,0,0,0,0.0,0.0,0.0
capacity_nonbinding,writer,qwen_plus_0728_openrouter,final,12,337.3333333333333,244.0,268.0,281.0,415.75,544.0,0,0,0,0.0,0.0,0.0
capacity_nonbinding,writer,qwen_plus_0728_openrouter,per_update,66,186.84848484848484,10.0,125.5,144.5,255.75,544.0,0,0,0,0.0,0.0,0.0
capacity_writer_visible_nonbinding,pooled,,final,60,296.7,124.0,182.0,272.5,374.75,750.0,4,0,0,0.06666666666666667,0.0,0.0
capacity_writer_visible_nonbinding,pooled,,per_update,330,167.1,10.0,125.0,134.0,244.0,750.0,5,0,0,0.015151515151515152,0.0,0.0
capacity_writer_visible_nonbinding,writer,nemotron_3_ultra_baseten,final,12,245.66666666666666,136.0,221.5,262.0,289.0,314.0,0,0,0,0.0,0.0,0.0
capacity_writer_visible_nonbinding,writer,nemotron_3_ultra_baseten,per_update,66,149.65151515151516,10.0,125.0,134.0,226.75,314.0,0,0,0,0.0,0.0,0.0
capacity_writer_visible_nonbinding,writer,grok_4_3_openrouter,final,12,195.33333333333334,124.0,132.25,161.5,254.0,400.0,0,0,0,0.0,0.0,0.0
capacity_writer_visible_nonbinding,writer,grok_4_3_openrouter,per_update,66,126.0,10.0,124.25,129.0,136.0,400.0,0,0,0,0.0,0.0,0.0
capacity_writer_visible_nonbinding,writer,kimi_baseten,final,12,400.0833333333333,170.0,294.0,377.5,485.25,680.0,2,0,0,0.16666666666666666,0.0,0.0
capacity_writer_visible_nonbinding,writer,kimi_baseten,per_update,66,210.1060606060606,10.0,125.0,150.0,290.75,680.0,2,0,0,0.030303030303030304,0.0,0.0
capacity_writer_visible_nonbinding,writer,glm_5_2_baseten,final,12,352.8333333333333,200.0,240.0,274.5,415.25,750.0,2,0,0,0.16666666666666666,0.0,0.0
capacity_writer_visible_nonbinding,writer,glm_5_2_baseten,per_update,66,194.07575757575756,10.0,125.5,154.5,250.0,750.0,3,0,0,0.045454545454545456,0.0,0.0
capacity_writer_visible_nonbinding,writer,qwen_plus_0728_openrouter,final,12,289.5833333333333,136.0,145.0,307.0,381.5,478.0,0,0,0,0.0,0.0,0.0
capacity_writer_visible_nonbinding,writer,qwen_plus_0728_openrouter,per_update,66,155.66666666666666,10.0,125.0,133.0,155.0,478.0,0,0,0,0.0,0.0,0.0
