domain,arm,round,chains,au,au_lo,au_hi,us,us_lo,us_hi
procurement,action,0,120,96.7,93.3,99.2,26.7,20.6,33.1
procurement,action,1,120,95.0,91.7,97.8,26.4,20.8,32.5
procurement,action,2,120,74.7,67.5,81.7,25.8,20.3,31.7
procurement,action,3,120,64.7,56.7,72.5,26.9,21.4,32.5
procurement,neutral,0,120,96.7,93.3,99.2,26.7,20.8,32.8
procurement,neutral,1,120,96.1,92.8,98.9,26.4,20.6,32.8
procurement,neutral,2,120,85.3,79.4,90.6,24.2,18.6,30.0
procurement,neutral,3,120,77.2,70.0,83.9,22.8,16.9,28.6
cybersecurity,action,0,160,90.6,85.6,95.0,8.3,4.4,12.8
cybersecurity,action,1,160,80.9,76.4,85.3,6.2,3.0,10.0
cybersecurity,action,2,160,66.6,60.6,72.2,4.8,2.8,7.3
cybersecurity,action,3,160,60.6,54.5,66.6,7.0,4.5,9.8
cybersecurity,neutral,0,160,90.6,86.2,95.0,8.3,4.4,12.7
cybersecurity,neutral,1,160,90.5,85.6,94.8,7.7,3.9,11.9
cybersecurity,neutral,2,160,90.3,85.6,94.7,5.0,2.2,8.3
cybersecurity,neutral,3,160,90.3,85.6,94.7,4.5,1.7,7.8
finance,action,0,80,96.2,91.2,100.0,38.8,28.8,50.0
finance,action,1,80,95.6,90.6,99.4,38.1,27.8,49.1
finance,action,2,80,95.0,90.0,98.8,36.9,26.2,47.5
finance,action,3,80,95.0,90.0,98.8,36.2,26.2,47.5
finance,neutral,0,80,96.2,91.2,100.0,38.8,28.8,50.0
finance,neutral,1,80,96.2,91.2,100.0,37.5,27.2,48.4
finance,neutral,2,80,96.2,91.2,100.0,37.5,27.5,47.5
finance,neutral,3,80,96.2,91.2,100.0,37.5,26.2,47.5
