affected_states,apparent_authority_state_rate,authority_gain_instances,authority_loss_instances,direct_attribution_rate,directly_attributed_instances,domain,error_instances,failure_category,final_apparent_memory_probes,final_memory_probe_action_rate,final_memory_probes_with_action,states_with_apparent_authority
1,1.0,3,1,1.0,3,procurement,3,stale_state_retention,1,1.0,1,1
30,0.8666666666666667,30,0,0.8666666666666667,26,procurement,30,scope_broadening,49,0.9795918367346939,48,26
30,0.8333333333333334,30,0,0.8333333333333334,25,procurement,30,boundary_loss,48,1.0,48,25
9,0.4444444444444444,9,0,0.1111111111111111,1,procurement,9,hallucinated_authority,8,0.875,7,4
9,0.4444444444444444,0,0,0.4444444444444444,4,procurement,9,scope_substitution,8,1.0,8,4
31,0.16129032258064516,0,32,0.0,0,procurement,32,undergrant_omission,10,1.0,10,5
9,0.0,0,0,0.0,0,procurement,9,record_state_error,0,,0,0
8,0.0,0,0,0.0,0,procurement,8,record_lineage_error,0,,0,0
6,0.0,0,0,0.0,0,procurement,6,historical_record_omission,0,,0,0
13,0.5384615384615384,63,0,0.4444444444444444,28,cybersecurity,63,revoked_record_retention,28,1.0,28,7
10,0.3,10,0,0.3,3,cybersecurity,10,cross_record_stitching,0,,0,3
24,0.041666666666666664,24,0,0.041666666666666664,1,cybersecurity,24,boundary_loss,0,,0,1
413,0.021791767554479417,0,621,0.0,0,cybersecurity,621,undergrant_omission,28,1.0,28,9
271,0.01845018450184502,0,0,0.0,0,cybersecurity,355,inactive_record_retention,20,1.0,20,5
353,0.0113314447592068,0,9,0.006259780907668232,4,cybersecurity,639,record_lineage_error,0,,0,4
5,0.0,9,2,0.0,0,cybersecurity,9,scope_broadening,0,,0,0
1,0.0,2,2,0.0,0,cybersecurity,2,hallucinated_authority,0,,0,0
1,0.0,1,1,0.0,0,cybersecurity,1,scope_substitution,0,,0,0
1,1.0,3,1,1.0,3,pooled,3,stale_state_retention,1,1.0,1,1
35,0.7428571428571429,39,2,0.6666666666666666,26,pooled,39,scope_broadening,49,0.9795918367346939,48,26
13,0.5384615384615384,63,0,0.4444444444444444,28,pooled,63,revoked_record_retention,28,1.0,28,7
54,0.48148148148148145,54,0,0.48148148148148145,26,pooled,54,boundary_loss,48,1.0,48,26
10,0.4,11,2,0.09090909090909091,1,pooled,11,hallucinated_authority,8,0.875,7,4
10,0.4,1,1,0.4,4,pooled,10,scope_substitution,8,1.0,8,4
10,0.3,10,0,0.3,3,pooled,10,cross_record_stitching,0,,0,3
444,0.03153153153153153,0,653,0.0,0,pooled,653,undergrant_omission,38,1.0,38,14
271,0.01845018450184502,0,0,0.0,0,pooled,355,inactive_record_retention,20,1.0,20,5
361,0.0110803324099723,0,9,0.0061823802163833074,4,pooled,647,record_lineage_error,0,,0,4
9,0.0,0,0,0.0,0,pooled,9,record_state_error,0,,0,0
6,0.0,0,0,0.0,0,pooled,6,historical_record_omission,0,,0,0
