all_event_updates,ci_high,ci_low,cluster_count,cluster_unit,correct_origin_exposures,denominator,domain,incorrect_origin_exposures,introduction_rate,introductions,scope,triggering_event_type
220,0.6129254727474971,0.32413793103448274,28,domain_case_family,149,149,,71,0.4697986577181208,70,pooled,grant
190,0.07142857142857142,0.0,16,domain_case_family,45,45,,145,0.022222222222222223,1,pooled,narrowing
225,0.2945753737541528,0.12079941929649199,13,domain_case_family,130,130,,95,0.2076923076923077,27,pooled,non_authorization_update
160,0.4426229508196721,0.3125,16,domain_case_family,64,64,,96,0.375,24,pooled,portfolio_replacement
95,0.23076923076923078,0.0,4,domain_case_family,8,8,,87,0.125,1,pooled,replacement
95,1.0,0.5428571428571428,13,domain_case_family,27,27,,68,0.7407407407407407,20,pooled,revocation
5,,,1,domain_case_family,5,5,,0,0.0,0,pooled,scope_transition
60,0.08333333333333333,0.0,12,domain_case_family,59,59,procurement,1,0.03389830508474576,2,domain,grant
30,0.0,0.0,6,domain_case_family,29,29,procurement,1,0.0,0,domain,narrowing
145,0.3014735060690943,0.12172595520421609,12,domain_case_family,129,129,procurement,16,0.20930232558139536,27,domain,non_authorization_update
15,0.25,0.0,3,domain_case_family,7,7,procurement,8,0.14285714285714285,1,domain,replacement
15,0.75,0.2,3,domain_case_family,14,14,procurement,1,0.5,7,domain,revocation
5,,,1,domain_case_family,5,5,procurement,0,0.0,0,domain,scope_transition
160,0.8604651162790697,0.6363399621212121,16,domain_case_family,90,90,cybersecurity,70,0.7555555555555555,68,domain,grant
160,0.15,0.0,10,domain_case_family,16,16,cybersecurity,144,0.0625,1,domain,narrowing
80,,,1,domain_case_family,1,1,cybersecurity,79,0.0,0,domain,non_authorization_update
160,0.4426229508196721,0.3076923076923077,16,domain_case_family,64,64,cybersecurity,96,0.375,24,domain,portfolio_replacement
80,,,1,domain_case_family,1,1,cybersecurity,79,0.0,0,domain,replacement
80,1.0,1.0,10,domain_case_family,13,13,cybersecurity,67,1.0,13,domain,revocation
