authority_amplification_rate,correct_origin_transitions,domain,downstream_propagation_rate,episodes_with_category_change,episodes_with_error_accumulation,episodes_with_retained_failed_update,error_introduction_rate,error_introductions,error_persistence_rate,error_persistences,final_apparent_memory_probes,final_erroneous_memories,final_error_memories_with_apparent_authority,group_type,incorrect_origin_transitions,introduced_error_episodes,memory_probes_with_any_action,self_repair_rate,self_repaired_episodes,writer
0.36893203883495146,428,,0.9883720930232558,72,64,11,0.3341121495327103,143,0.8843416370106761,497,86,103,38,pooled,562,143,85,0.45454545454545453,65,
0.543859649122807,243,procurement,0.9827586206896551,8,7,0,0.1522633744855967,37,1.0,27,58,57,31,domain,27,37,57,0.0,0,
0.15217391304347827,185,cybersecurity,1.0,64,57,11,0.572972972972973,106,0.8785046728971962,470,28,46,7,domain,535,106,28,0.6132075471698113,65,
0.3684210526315789,109,,1.0,9,7,4,0.29357798165137616,32,0.8202247191011236,73,15,19,7,writer,89,32,15,0.5,16,Nemotron 3 Ultra
0.375,80,,1.0,15,14,1,0.325,26,0.8728813559322034,103,13,16,6,writer,118,26,13,0.5769230769230769,15,Grok 4.3
0.5384615384615384,85,,1.0,17,13,1,0.3176470588235294,27,0.8495575221238938,96,14,13,7,writer,113,27,14,0.6296296296296297,17,Kimi K2.6
0.2,90,,1.0,15,14,0,0.4,36,0.8518518518518519,92,10,25,5,writer,108,36,10,0.4444444444444444,16,GLM 5.2
0.43333333333333335,64,,0.9705882352941176,16,16,5,0.34375,22,0.9925373134328358,133,34,30,13,writer,134,22,33,0.045454545454545456,1,Qwen Plus 2025-07-28
0.5454545454545454,49,procurement,1.0,2,2,0,0.16326530612244897,8,1.0,5,11,11,6,domain_writer,5,8,11,0.0,0,Nemotron 3 Ultra
0.5454545454545454,49,procurement,1.0,2,1,0,0.16326530612244897,8,1.0,5,13,11,6,domain_writer,5,8,13,0.0,0,Grok 4.3
0.5384615384615384,46,procurement,1.0,3,3,0,0.21739130434782608,10,1.0,8,14,13,7,domain_writer,8,10,14,0.0,0,Kimi K2.6
0.5,52,procurement,1.0,1,1,0,0.11538461538461539,6,1.0,2,10,10,5,domain_writer,2,6,10,0.0,0,GLM 5.2
0.5833333333333334,47,procurement,0.9,0,0,0,0.10638297872340426,5,1.0,7,10,12,7,domain_writer,7,5,9,0.0,0,Qwen Plus 2025-07-28
0.125,60,cybersecurity,1.0,7,5,4,0.4,24,0.8095238095238095,68,4,8,1,domain_writer,84,24,4,0.6666666666666666,16,Nemotron 3 Ultra
0.0,31,cybersecurity,,13,13,1,0.5806451612903226,18,0.8672566371681416,98,0,5,0,domain_writer,113,18,0,0.8333333333333334,15,Grok 4.3
,39,cybersecurity,,14,10,1,0.4358974358974359,17,0.8380952380952381,88,0,0,0,domain_writer,105,17,0,1.0,17,Kimi K2.6
0.0,38,cybersecurity,,14,13,0,0.7894736842105263,30,0.8490566037735849,90,0,15,0,domain_writer,106,30,0,0.5333333333333333,16,GLM 5.2
0.3333333333333333,17,cybersecurity,1.0,16,16,5,1.0,17,0.9921259842519685,126,24,18,6,domain_writer,127,17,24,0.058823529411764705,1,Qwen Plus 2025-07-28
