at_risk,censored_events,ci_high,ci_low,cluster_count,cluster_unit,domain,episode_count,estimator,failure_category,lag_updates,repair_events,scope,survival_rate,triggering_event_type
37,0,1.0,1.0,10,domain_case_family,procurement,37,kaplan_meier,,0,0,domain,1.0,
11,2,1.0,1.0,10,domain_case_family,procurement,37,kaplan_meier,,1,0,domain,1.0,
9,7,1.0,1.0,10,domain_case_family,procurement,37,kaplan_meier,,2,0,domain,1.0,
2,2,1.0,1.0,10,domain_case_family,procurement,37,kaplan_meier,,3,0,domain,1.0,
106,0,1.0,1.0,16,domain_case_family,cybersecurity,106,kaplan_meier,,0,0,domain,1.0,
82,0,1.0,0.963855421686747,16,domain_case_family,cybersecurity,106,kaplan_meier,,1,1,domain,0.9878048780487805,
81,0,1.0,0.9166666666666666,16,domain_case_family,cybersecurity,106,kaplan_meier,,2,2,domain,0.9634146341463414,
79,0,0.9875,0.8571428571428571,16,domain_case_family,cybersecurity,106,kaplan_meier,,3,3,domain,0.9268292682926829,
76,0,0.9375,0.7529411764705881,16,domain_case_family,cybersecurity,106,kaplan_meier,,4,6,domain,0.8536585365853657,
70,1,0.9012345679012346,0.7228915662650602,16,domain_case_family,cybersecurity,106,kaplan_meier,,5,3,domain,0.8170731707317073,
66,0,0.8874785052910052,0.7142857142857142,16,domain_case_family,cybersecurity,106,kaplan_meier,,6,1,domain,0.8046932742054693,
65,0,0.23478620524296678,0.16249999999999998,16,domain_case_family,cybersecurity,106,kaplan_meier,,7,49,domain,0.19807834441980784,
16,16,0.23478620524296678,0.16249999999999998,16,domain_case_family,cybersecurity,106,kaplan_meier,,8,0,domain,0.19807834441980784,
27,0,1.0,1.0,9,domain_case_family,procurement,27,kaplan_meier,,0,0,triggering_event,1.0,non_authorization_update
1,1,1.0,1.0,9,domain_case_family,procurement,27,kaplan_meier,,1,0,triggering_event,1.0,non_authorization_update
7,0,1.0,1.0,3,domain_case_family,procurement,7,kaplan_meier,,0,0,triggering_event,1.0,revocation
7,0,1.0,1.0,3,domain_case_family,procurement,7,kaplan_meier,,1,0,triggering_event,1.0,revocation
7,7,1.0,1.0,3,domain_case_family,procurement,7,kaplan_meier,,2,0,triggering_event,1.0,revocation
2,0,1.0,1.0,2,domain_case_family,procurement,2,kaplan_meier,,0,0,triggering_event,1.0,grant
2,0,1.0,1.0,2,domain_case_family,procurement,2,kaplan_meier,,1,0,triggering_event,1.0,grant
2,0,1.0,1.0,2,domain_case_family,procurement,2,kaplan_meier,,2,0,triggering_event,1.0,grant
2,2,1.0,1.0,2,domain_case_family,procurement,2,kaplan_meier,,3,0,triggering_event,1.0,grant
1,0,,,1,domain_case_family,procurement,1,kaplan_meier,,0,0,triggering_event,1.0,replacement
1,1,,,1,domain_case_family,procurement,1,kaplan_meier,,1,0,triggering_event,1.0,replacement
13,0,1.0,1.0,10,domain_case_family,cybersecurity,13,kaplan_meier,,0,0,triggering_event,1.0,revocation
13,0,1.0,0.8125,10,domain_case_family,cybersecurity,13,kaplan_meier,,1,1,triggering_event,0.9230769230769231,revocation
12,0,1.0,0.8125,10,domain_case_family,cybersecurity,13,kaplan_meier,,2,0,triggering_event,0.9230769230769231,revocation
12,0,0.9166666666666666,0.4166666666666667,10,domain_case_family,cybersecurity,13,kaplan_meier,,3,3,triggering_event,0.6923076923076923,revocation
9,0,0.6153846153846154,0.06093750000000005,10,domain_case_family,cybersecurity,13,kaplan_meier,,4,5,triggering_event,0.30769230769230765,revocation
4,1,0.27272727272727276,0.0,10,domain_case_family,cybersecurity,13,kaplan_meier,,5,3,triggering_event,0.07692307692307691,revocation
24,0,1.0,1.0,16,domain_case_family,cybersecurity,24,kaplan_meier,,0,0,triggering_event,1.0,portfolio_replacement
68,0,1.0,1.0,16,domain_case_family,cybersecurity,68,kaplan_meier,,0,0,triggering_event,1.0,grant
68,0,1.0,1.0,16,domain_case_family,cybersecurity,68,kaplan_meier,,1,0,triggering_event,1.0,grant
68,0,1.0,0.9558823529411765,16,domain_case_family,cybersecurity,68,kaplan_meier,,2,1,triggering_event,0.9852941176470589,grant
67,0,1.0,0.9558823529411765,16,domain_case_family,cybersecurity,68,kaplan_meier,,3,0,triggering_event,0.9852941176470589,grant
67,0,1.0,0.9315068493150686,16,domain_case_family,cybersecurity,68,kaplan_meier,,4,1,triggering_event,0.9705882352941176,grant
66,0,1.0,0.9315068493150686,16,domain_case_family,cybersecurity,68,kaplan_meier,,5,0,triggering_event,0.9705882352941176,grant
66,0,1.0,0.911764705882353,16,domain_case_family,cybersecurity,68,kaplan_meier,,6,1,triggering_event,0.9558823529411765,grant
65,0,0.29032258064516125,0.18461538461538463,16,domain_case_family,cybersecurity,68,kaplan_meier,,7,49,triggering_event,0.23529411764705885,grant
16,16,0.29032258064516125,0.18461538461538463,16,domain_case_family,cybersecurity,68,kaplan_meier,,8,0,triggering_event,0.23529411764705885,grant
1,0,,,1,domain_case_family,cybersecurity,1,kaplan_meier,,0,0,triggering_event,1.0,narrowing
1,0,,,1,domain_case_family,cybersecurity,1,kaplan_meier,,1,0,triggering_event,1.0,narrowing
1,0,,,1,domain_case_family,cybersecurity,1,kaplan_meier,,2,1,triggering_event,0.0,narrowing
23,0,1.0,1.0,8,domain_case_family,,23,kaplan_meier,scope_broadening,0,0,failure_category,1.0,
22,0,1.0,1.0,8,domain_case_family,,22,kaplan_meier,boundary_loss,0,0,failure_category,1.0,
1,0,1.0,1.0,8,domain_case_family,,22,kaplan_meier,boundary_loss,1,0,failure_category,1.0,
1,0,1.0,1.0,8,domain_case_family,,22,kaplan_meier,boundary_loss,2,0,failure_category,1.0,
1,1,1.0,1.0,8,domain_case_family,,22,kaplan_meier,boundary_loss,3,0,failure_category,1.0,
1,0,,,1,domain_case_family,,1,kaplan_meier,revoked_record_retention,0,0,failure_category,1.0,
2,0,1.0,1.0,2,domain_case_family,,2,kaplan_meier,hallucinated_authority,0,0,failure_category,1.0,
80,0,1.0,1.0,22,domain_case_family,,80,kaplan_meier,undergrant_omission,0,0,failure_category,1.0,
77,2,1.0,1.0,22,domain_case_family,,80,kaplan_meier,undergrant_omission,1,0,failure_category,1.0,
75,7,1.0,0.9587521477663231,22,domain_case_family,,80,kaplan_meier,undergrant_omission,2,1,failure_category,0.9866666666666667,
67,0,1.0,0.9587521477663231,22,domain_case_family,,80,kaplan_meier,undergrant_omission,3,0,failure_category,0.9866666666666667,
67,0,1.0,0.9339701959388338,22,domain_case_family,,80,kaplan_meier,undergrant_omission,4,1,failure_category,0.9719402985074627,
66,0,1.0,0.9339701959388338,22,domain_case_family,,80,kaplan_meier,undergrant_omission,5,0,failure_category,0.9719402985074627,
66,0,1.0,0.9155215311846107,22,domain_case_family,,80,kaplan_meier,undergrant_omission,6,1,failure_category,0.9572139303482587,
65,0,0.2902985534389709,0.18665634674922596,22,domain_case_family,,80,kaplan_meier,undergrant_omission,7,49,failure_category,0.2356218905472637,
16,16,0.2902985534389709,0.18665634674922596,22,domain_case_family,,80,kaplan_meier,undergrant_omission,8,0,failure_category,0.2356218905472637,
5,0,1.0,1.0,2,domain_case_family,,5,kaplan_meier,scope_substitution,0,0,failure_category,1.0,
1,0,1.0,1.0,2,domain_case_family,,5,kaplan_meier,scope_substitution,1,0,failure_category,1.0,
1,0,1.0,1.0,2,domain_case_family,,5,kaplan_meier,scope_substitution,2,0,failure_category,1.0,
1,1,1.0,1.0,2,domain_case_family,,5,kaplan_meier,scope_substitution,3,0,failure_category,1.0,
14,0,1.0,1.0,10,domain_case_family,,14,kaplan_meier,inactive_record_retention,0,0,failure_category,1.0,
13,0,1.0,0.8125,10,domain_case_family,,14,kaplan_meier,inactive_record_retention,1,1,failure_category,0.9230769230769231,
