domain,group,introduced_episodes,median_updates_to_repair,scope,self_repair_rate,self_repairs,share_of_domain_repairs
procurement,,37,,domain,0.0,0,
procurement,grant,2,,introduction_event,0.0,0,
procurement,non_authorization_update,27,,introduction_event,0.0,0,
procurement,replacement,1,,introduction_event,0.0,0,
procurement,revocation,7,,introduction_event,0.0,0,
procurement,scope_broadening,23,,initial_category,0.0,0,
procurement,boundary_loss,22,,initial_category,0.0,0,
procurement,hallucinated_authority,2,,initial_category,0.0,0,
procurement,undergrant_omission,11,,initial_category,0.0,0,
procurement,scope_substitution,5,,initial_category,0.0,0,
cybersecurity,,106,7,domain,0.6132075471698113,65,1.0
cybersecurity,grant,68,7.0,introduction_event,0.7647058823529411,52,0.8
cybersecurity,narrowing,1,2,introduction_event,1.0,1,0.015384615384615385
cybersecurity,portfolio_replacement,24,,introduction_event,0.0,0,0.0
cybersecurity,revocation,13,4.0,introduction_event,0.9230769230769231,12,0.18461538461538463
cybersecurity,revoked_record_retention,1,,initial_category,0.0,0,0.0
cybersecurity,undergrant_omission,69,7.0,initial_category,0.7536231884057971,52,0.8
cybersecurity,inactive_record_retention,14,4.0,initial_category,0.8571428571428571,12,0.18461538461538463
cybersecurity,record_lineage_error,73,7,initial_category,0.5616438356164384,41,0.6307692307692307
cybersecurity,narrowing,106,2,repair_event,0.009433962264150943,1,0.015384615384615385
cybersecurity,portfolio_replacement,106,7.0,repair_event,0.5849056603773585,62,0.9538461538461539
cybersecurity,replacement,106,1,repair_event,0.009433962264150943,1,0.015384615384615385
cybersecurity,revocation,106,4,repair_event,0.009433962264150943,1,0.015384615384615385
