bootstrap_unit,bootstrap_valid_replicates,ci_high,ci_low,domain,family_clusters,jensen_shannon_divergence,shared_nonzero_categories,union_nonzero_categories,writer_a,writer_a_error_instances,writer_b,writer_b_error_instances
paired_domain_case_family,2000,0.4298061354524805,0.1022734329136991,procurement,11,0.19149313079931765,5,8,Nemotron 3 Ultra,30,Grok 4.3,23
paired_domain_case_family,2000,0.32657246237850546,0.07845281956317315,procurement,11,0.14265411429586222,6,8,Nemotron 3 Ultra,30,Kimi K2.6,34
paired_domain_case_family,2000,0.34326827477490224,0.021524001985059254,procurement,11,0.0780379401333039,6,7,Nemotron 3 Ultra,30,GLM 5.2,25
paired_domain_case_family,2000,0.4761664379506177,0.12412821926500227,procurement,11,0.16928000600980642,6,8,Nemotron 3 Ultra,30,Qwen Plus 2025-07-28,24
paired_domain_case_family,2000,0.30836030531242115,0.04476179251564691,procurement,11,0.16786354138859697,5,8,Grok 4.3,23,Kimi K2.6,34
paired_domain_case_family,2000,0.45704746667229584,0.1169407257358081,procurement,11,0.20978660239285535,5,7,Grok 4.3,23,GLM 5.2,25
paired_domain_case_family,2000,0.5876245865824132,0.04455917348442156,procurement,11,0.19065403287227461,5,8,Grok 4.3,23,Qwen Plus 2025-07-28,24
paired_domain_case_family,2000,0.372249498119771,0.12027281795004754,procurement,11,0.1989243131214004,5,8,Kimi K2.6,34,GLM 5.2,25
paired_domain_case_family,2000,0.5618755876987293,0.17161649871243287,procurement,11,0.23883828984630878,5,9,Kimi K2.6,34,Qwen Plus 2025-07-28,24
paired_domain_case_family,2000,0.5847811586329915,0.1342247388220391,procurement,11,0.23989063854468462,5,8,GLM 5.2,25,Qwen Plus 2025-07-28,24
paired_domain_case_family,2000,0.23146227224544688,0.04933258560814178,cybersecurity,16,0.10294840944390325,5,6,Nemotron 3 Ultra,201,Grok 4.3,292
paired_domain_case_family,2000,0.18143537741740287,0.022380723573174877,cybersecurity,16,0.07156015406503248,4,6,Nemotron 3 Ultra,201,Kimi K2.6,218
paired_domain_case_family,2000,0.2005889182414645,0.04092839173428765,cybersecurity,16,0.09673656980381301,3,6,Nemotron 3 Ultra,201,GLM 5.2,442
paired_domain_case_family,2000,0.1351756001966725,0.022401818498320784,cybersecurity,16,0.041498474623046774,5,8,Nemotron 3 Ultra,201,Qwen Plus 2025-07-28,571
paired_domain_case_family,2000,0.06998855732474747,0.00791936540696936,cybersecurity,16,0.0156307326291669,5,6,Grok 4.3,292,Kimi K2.6,218
paired_domain_case_family,2000,0.1445274476367682,0.03992203724419333,cybersecurity,16,0.08272842136330785,3,7,Grok 4.3,292,GLM 5.2,442
paired_domain_case_family,2000,0.1384703277798855,0.04470508491715141,cybersecurity,16,0.07755776196203297,6,8,Grok 4.3,292,Qwen Plus 2025-07-28,571
paired_domain_case_family,2000,0.1243131875284009,0.03924817939371409,cybersecurity,16,0.07454163300330412,3,6,Kimi K2.6,218,GLM 5.2,442
paired_domain_case_family,2000,0.11173142986397058,0.04696292304201347,cybersecurity,16,0.06602994177279484,5,8,Kimi K2.6,218,Qwen Plus 2025-07-28,571
paired_domain_case_family,2000,0.19011058868839228,0.09285144407548294,cybersecurity,16,0.1361330047792869,3,9,GLM 5.2,442,Qwen Plus 2025-07-28,571
