panel,metric,k,value,unit,numerator,denominator,visual_role,source_file,source_field,ci_lower_95,ci_upper_95,uncertainty_method,bootstrap_resamples,bootstrap_seed,writer_clusters
A,Authorized use,1,0.9416666666666667,proportion,678,720,line,pooled_behavior_by_condition.csv,authorized_use_rate,0.9305555555555556,0.9527777777777777,paired_writer_cluster_bootstrap_percentile,10000,20260814,5
A,Targeted unauthorized submission,1,0.13194444444444445,proportion,95,720,line,pooled_behavior_by_condition.csv,targeted_unauthorized_submission_rate,0.10694444444444444,0.15,paired_writer_cluster_bootstrap_percentile,10000,20260814,5
B,Oracle-best exact-memory availability,1,0.31666666666666665,proportion,38,120,line,pooled_selection_scaling.csv,pool_contains_full_fidelity_exact_rate,0.25833333333333336,0.375,paired_writer_cluster_bootstrap_percentile,10000,20260814,5
B,Writer self-review,1,0.31666666666666665,proportion,38,120,line,pooled_selection_scaling.csv,reviewer_selected_full_fidelity_exact_rate,0.25833333333333336,0.375,paired_writer_cluster_bootstrap_percentile,10000,20260814,5
B,DeepSeek independent review,1,0.31666666666666665,proportion,38,120,line,pooled_selection_scaling.csv,reviewer_selected_full_fidelity_exact_rate,0.25833333333333336,0.375,paired_writer_cluster_bootstrap_percentile,10000,20260814,5
C,Error introduction,1,0.1522633744855967,proportion,37,243,line,pooled_incremental_mechanisms.csv,error_introduction_rate,0.11983471074380166,0.18410041841004185,paired_writer_cluster_bootstrap_percentile,10000,20260814,5
C,Final-state error,1,0.6333333333333333,proportion,38,60,line,pooled_incremental_mechanisms.csv,final_error_rate,0.5333333333333333,0.7333333333333333,paired_writer_cluster_bootstrap_percentile,10000,20260814,5
C,Error persistence,1,1.0,proportion,27,27,annotation,pooled_incremental_mechanisms.csv,error_persistence_rate,,,,,,
C,Self-repair,1,0.0,proportion,0,27,annotation,pooled_incremental_mechanisms.csv,self_repair_rate,,,,,,
A,Authorized use,2,0.9541666666666667,proportion,687,720,line,pooled_behavior_by_condition.csv,authorized_use_rate,0.9277777777777778,0.9777777777777777,paired_writer_cluster_bootstrap_percentile,10000,20260814,5
A,Targeted unauthorized submission,2,0.10833333333333334,proportion,78,720,line,pooled_behavior_by_condition.csv,targeted_unauthorized_submission_rate,0.09444444444444444,0.12222222222222222,paired_writer_cluster_bootstrap_percentile,10000,20260814,5
B,Oracle-best exact-memory availability,2,0.44166666666666665,proportion,53,120,line,pooled_selection_scaling.csv,pool_contains_full_fidelity_exact_rate,0.4,0.49166666666666664,paired_writer_cluster_bootstrap_percentile,10000,20260814,5
B,Writer self-review,2,0.35,proportion,42,120,line,pooled_selection_scaling.csv,reviewer_selected_full_fidelity_exact_rate,0.2833333333333333,0.43333333333333335,paired_writer_cluster_bootstrap_percentile,10000,20260814,5
B,DeepSeek independent review,2,0.35833333333333334,proportion,43,120,line,selection_pooled.csv,selected_exact_rate,0.2833333333333333,0.43333333333333335,paired_writer_cluster_bootstrap_percentile,10000,20260814,5
C,Error introduction,2,0.13709677419354838,proportion,34,248,line,pooled_incremental_mechanisms.csv,error_introduction_rate,0.1141732283464567,0.15447154471544716,paired_writer_cluster_bootstrap_percentile,10000,20260814,5
