k,condition_id,method,typed_pools,pool_contains_exact_rate,selected_exact_rate,oracle_hit_rate,mean_selection_regret_fields,authorization_error_rate,apparent_authority_rate,lost_authority_rate,mean_overgrant_fields,mean_undergrant_fields,review_failure_rate
2,incremental_typed,deepseek_review,60,0.15,0.1,0.8333333333333334,0.23333333333333334,0.43333333333333335,0.43333333333333335,0.0,1.0,0.23333333333333334,0.05
2,incremental_typed,oracle_best,60,0.15,0.15,1.0,0.0,0.43333333333333335,0.43333333333333335,0.0,1.0,0.13333333333333333,
2,incremental_typed,self_review,60,0.15,0.08333333333333333,0.8,0.2833333333333333,0.43333333333333335,0.43333333333333335,0.0,1.0166666666666666,0.26666666666666666,0.05
2,one_shot_typed,deepseek_review,60,0.7333333333333333,0.6166666666666667,0.7833333333333333,0.5,0.05,0.05,0.0,0.25,0.1,0.0
2,one_shot_typed,oracle_best,60,0.7333333333333333,0.7333333333333333,1.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.03333333333333333,0.016666666666666666,
2,one_shot_typed,self_review,60,0.7333333333333333,0.6166666666666667,0.7833333333333333,0.5,0.05,0.05,0.0,0.25,0.1,0.016666666666666666
2,typed_pooled,deepseek_review,120,0.44166666666666665,0.35833333333333334,0.8083333333333333,0.36666666666666664,0.24166666666666667,0.24166666666666667,0.0,0.625,0.16666666666666666,0.025
2,typed_pooled,oracle_best,120,0.44166666666666665,0.44166666666666665,1.0,0.0,0.225,0.225,0.0,0.5166666666666667,0.075,
2,typed_pooled,self_review,120,0.44166666666666665,0.35,0.7916666666666666,0.39166666666666666,0.24166666666666667,0.24166666666666667,0.0,0.6333333333333333,0.18333333333333332,0.03333333333333333
4,incremental_typed,deepseek_review,60,0.25,0.11666666666666667,0.5833333333333334,0.5833333333333334,0.36666666666666664,0.35,0.016666666666666666,0.85,0.3333333333333333,0.5333333333333333
4,incremental_typed,oracle_best,60,0.25,0.25,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.75,0.11666666666666667,
4,incremental_typed,self_review,60,0.25,0.06666666666666667,0.5333333333333333,0.6833333333333333,0.38333333333333336,0.36666666666666664,0.016666666666666666,0.9166666666666666,0.3,0.3333333333333333
4,one_shot_typed,deepseek_review,60,0.7666666666666667,0.55,0.6333333333333333,0.6833333333333333,0.016666666666666666,0.016666666666666666,0.0,0.21666666666666667,0.11666666666666667,0.15
4,one_shot_typed,oracle_best,60,0.7666666666666667,0.7666666666666667,1.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.03333333333333333,0.016666666666666666,
4,one_shot_typed,self_review,60,0.7666666666666667,0.5666666666666667,0.6666666666666666,0.6833333333333333,0.03333333333333333,0.03333333333333333,0.0,0.25,0.11666666666666667,0.1
4,typed_pooled,deepseek_review,120,0.5083333333333333,0.3333333333333333,0.6083333333333333,0.6333333333333333,0.19166666666666668,0.18333333333333332,0.008333333333333333,0.5333333333333333,0.225,0.3416666666666667
4,typed_pooled,oracle_best,120,0.5083333333333333,0.5083333333333333,1.0,0.0,0.175,0.175,0.0,0.39166666666666666,0.06666666666666667,
4,typed_pooled,self_review,120,0.5083333333333333,0.31666666666666665,0.6,0.6833333333333333,0.20833333333333334,0.2,0.008333333333333333,0.5833333333333334,0.20833333333333334,0.21666666666666667
8,incremental_typed,deepseek_review,60,0.3,0.13333333333333333,0.55,0.8166666666666667,0.35,0.31666666666666665,0.03333333333333333,0.7666666666666667,0.3333333333333333,0.11666666666666667
8,incremental_typed,oracle_best,60,0.3,0.3,1.0,0.0,0.26666666666666666,0.26666666666666666,0.0,0.5666666666666667,0.1,
8,incremental_typed,self_review,60,0.3,0.05,0.4666666666666667,0.7666666666666667,0.3333333333333333,0.3333333333333333,0.0,0.7833333333333333,0.25,0.03333333333333333
8,one_shot_typed,deepseek_review,60,0.8,0.4666666666666667,0.5,0.9833333333333333,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.26666666666666666,0.18333333333333332,0.0
8,one_shot_typed,oracle_best,60,0.8,0.8,1.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.03333333333333333,0.016666666666666666,
8,one_shot_typed,self_review,60,0.8,0.48333333333333334,0.48333333333333334,1.0333333333333334,0.03333333333333333,0.03333333333333333,0.0,0.3333333333333333,0.18333333333333332,0.016666666666666666
8,typed_pooled,deepseek_review,120,0.55,0.3,0.525,0.9,0.19166666666666668,0.16666666666666666,0.025,0.5166666666666667,0.25833333333333336,0.058333333333333334
8,typed_pooled,oracle_best,120,0.55,0.55,1.0,0.0,0.14166666666666666,0.14166666666666666,0.0,0.3,0.058333333333333334,
8,typed_pooled,self_review,120,0.55,0.26666666666666666,0.475,0.9,0.18333333333333332,0.18333333333333332,0.0,0.5583333333333333,0.21666666666666667,0.025
