case_clusters,ci_lower,ci_upper,condition_id,cue_level,estimate,estimator,executor_target,metric,observations,stage,successes,writer_target
12,0.0,0.125,incremental_text,l0,0.05555555555555555,equal_case_weighted_mean,deepseek_baseten,action_mismatch,72,executor,4.0,glm_5_2_baseten
12,0.0,0.08333333333333333,incremental_text,l1,0.041666666666666664,equal_case_weighted_mean,deepseek_baseten,action_mismatch,72,executor,3.0,glm_5_2_baseten
12,0.0,0.041666666666666664,incremental_text,l2,0.013888888888888888,equal_case_weighted_mean,deepseek_baseten,action_mismatch,72,executor,1.0,glm_5_2_baseten
12,0.0,0.06944444444444443,incremental_typed,l0,0.027777777777777776,equal_case_weighted_mean,deepseek_baseten,action_mismatch,72,executor,2.0,glm_5_2_baseten
12,0.0,0.08333333333333333,incremental_typed,l1,0.041666666666666664,equal_case_weighted_mean,deepseek_baseten,action_mismatch,72,executor,3.0,glm_5_2_baseten
12,0.0,0.0,incremental_typed,l2,0.0,equal_case_weighted_mean,deepseek_baseten,action_mismatch,72,executor,0.0,glm_5_2_baseten
12,0.0,0.08333333333333333,one_shot_text,l0,0.041666666666666664,equal_case_weighted_mean,deepseek_baseten,action_mismatch,72,executor,3.0,glm_5_2_baseten
12,0.013888888888888888,0.09722222222222221,one_shot_text,l1,0.05555555555555555,equal_case_weighted_mean,deepseek_baseten,action_mismatch,72,executor,4.0,glm_5_2_baseten
12,0.0,0.0,one_shot_text,l2,0.0,equal_case_weighted_mean,deepseek_baseten,action_mismatch,72,executor,0.0,glm_5_2_baseten
12,0.0,0.06944444444444443,one_shot_typed,l0,0.027777777777777776,equal_case_weighted_mean,deepseek_baseten,action_mismatch,72,executor,2.0,glm_5_2_baseten
12,0.027777777777777776,0.16666666666666666,one_shot_typed,l1,0.09722222222222221,equal_case_weighted_mean,deepseek_baseten,action_mismatch,72,executor,7.0,glm_5_2_baseten
12,0.0,0.1111111111111111,one_shot_typed,l2,0.041666666666666664,equal_case_weighted_mean,deepseek_baseten,action_mismatch,72,executor,3.0,glm_5_2_baseten
12,0.020833333333333332,0.05555555555555555,pooled,l0,0.03819444444444444,equal_case_weighted_mean,deepseek_baseten,action_mismatch,288,executor,11.0,glm_5_2_baseten
