calls,calls_missing_usage,cue_level,error_calls,estimated_cost_usd,historical_call_records_excluded,input_tokens,nonexecutor_replay_call_records_excluded,output_tokens,pricing_basis,provider_reported_cost_usd,rate_derived_cost_usd,stage,target_id,task,unpriced_calls
0,0,l0,0,0.0,0,0,0,0,historical_l0_reused_at_zero_e1_cost,0.0,0.0,executor,reused,reused_baseline,0
1452,12,l1,12,8.173712639999994,,1887540,,1404998,frozen_e1_plan_2026-08-15,0.0,8.173712639999994,executor,deepseek_baseten,executor,0
1440,0,l1,0,0.4054262000000005,,1423522,,526148,frozen_e1_plan_2026-08-15,0.0,0.4054262000000005,executor,gptoss_baseten,executor,0
1462,22,l2,22,7.648288319999996,,1906260,,1244654,frozen_e1_plan_2026-08-15,0.0,7.648288319999996,executor,deepseek_baseten,executor,0
1440,0,l2,0,0.42169920000000044,,1442242,,554950,frozen_e1_plan_2026-08-15,0.0,0.42169920000000044,executor,gptoss_baseten,executor,0
4322,2,l0,2,1.2082727000000004,,4239192,,1568707,frozen_e1_plan_2026-08-15,0.0,1.2082727000000004,writer,gptoss_baseten,executor,0
612,0,l0,0,4.7609278400000035,,2649298,,513549,frozen_e1_plan_2026-08-15,0.0,4.7609278400000035,writer,glm_5_2_baseten,writer,0
470,0,l0,0,2.9341963,,1805374,,398732,frozen_e1_plan_2026-08-15,2.9341963,0.0,writer,grok_4_3_openrouter,writer,0
492,0,l0,0,2.1761129500000007,,1706161,,275327,frozen_e1_plan_2026-08-15,0.0,2.1761129500000007,writer,kimi_baseten,writer,0
547,0,l0,0,2.5570789200000017,,2609295,,418041,frozen_e1_plan_2026-08-15,0.0,2.5570789200000017,writer,nemotron_3_ultra_baseten,writer,0
554,0,l0,0,1.0315042400000003,,2522659,,481555,frozen_e1_plan_2026-08-15,1.0315042400000003,0.0,writer,qwen_plus_0728_openrouter,writer,0
4320,0,l1,0,1.2138899000000012,,4239144,,1579951,frozen_e1_plan_2026-08-15,0.0,1.2138899000000012,writer,gptoss_baseten,executor,0
595,0,l1,0,4.535082639999995,,2545684,,483001,frozen_e1_plan_2026-08-15,0.0,4.535082639999995,writer,glm_5_2_baseten,writer,0
472,0,l1,0,2.8957125499999994,,1813369,,381861,frozen_e1_plan_2026-08-15,2.8957125499999994,0.0,writer,grok_4_3_openrouter,writer,0
511,1,l1,1,2.3287882600000027,,1791750,,296695,frozen_e1_plan_2026-08-15,0.0,2.3287882600000027,writer,kimi_baseten,writer,0
529,0,l1,0,2.426407319999999,,2507397,,389069,frozen_e1_plan_2026-08-15,0.0,2.426407319999999,writer,nemotron_3_ultra_baseten,writer,0
569,0,l1,0,1.0526575800000006,,2570049,,492878,frozen_e1_plan_2026-08-15,1.0526575800000006,0.0,writer,qwen_plus_0728_openrouter,writer,0
4320,0,l2,0,1.196828500000004,,4156140,,1562429,frozen_e1_plan_2026-08-15,0.0,1.196828500000004,writer,gptoss_baseten,executor,0
577,0,l2,0,4.273210840000001,,2483869,,445948,frozen_e1_plan_2026-08-15,0.0,4.273210840000001,writer,glm_5_2_baseten,writer,0
475,0,l2,0,3.0732541000000015,,1825274,,376392,frozen_e1_plan_2026-08-15,3.0732541000000015,0.0,writer,grok_4_3_openrouter,writer,0
503,0,l2,0,2.192893430000002,,1763569,,271759,frozen_e1_plan_2026-08-15,0.0,2.192893430000002,writer,kimi_baseten,writer,0
543,0,l2,0,2.4851804399999975,,2583385,,399476,frozen_e1_plan_2026-08-15,0.0,2.4851804399999975,writer,nemotron_3_ultra_baseten,writer,0
541,0,l2,0,0.9478653600000002,,2419917,,408573,frozen_e1_plan_2026-08-15,0.9478653600000002,0.0,writer,qwen_plus_0728_openrouter,writer,0
