stage,metric,contrast,writer_target,writer,executor_target,executor,estimate_pp,ci_lower_pp,ci_upper_pp,paired_units,case_clusters
writer,authorization_error,l1-l0,glm_5_2_baseten,GLM 5.2,gptoss_baseten,GPT-OSS-120B,-2.7777777777777777,-11.11111111111111,5.555555555555555,72,12
writer,authorization_error,l2-l1,glm_5_2_baseten,GLM 5.2,gptoss_baseten,GPT-OSS-120B,2.7777777777777777,-4.166666666666666,11.11111111111111,72,12
writer,authorization_error,l1-l0,grok_4_3_openrouter,Grok 4.3,gptoss_baseten,GPT-OSS-120B,2.7777777777777777,-0.0,6.944444444444444,72,12
writer,authorization_error,l2-l1,grok_4_3_openrouter,Grok 4.3,gptoss_baseten,GPT-OSS-120B,-0.0,-4.166666666666666,4.166666666666666,72,12
writer,authorization_error,l1-l0,kimi_baseten,Kimi K2.6,gptoss_baseten,GPT-OSS-120B,9.722222222222221,-0.0,18.055555555555554,72,12
writer,authorization_error,l2-l1,kimi_baseten,Kimi K2.6,gptoss_baseten,GPT-OSS-120B,1.3888888888888888,-5.555555555555555,8.333333333333332,72,12
writer,authorization_error,l1-l0,nemotron_3_ultra_baseten,Nemotron 3 Ultra,gptoss_baseten,GPT-OSS-120B,-2.3129646346357425e-16,-11.11111111111111,9.722222222222221,72,12
writer,authorization_error,l2-l1,nemotron_3_ultra_baseten,Nemotron 3 Ultra,gptoss_baseten,GPT-OSS-120B,-1.3888888888888886,-12.5,11.11111111111111,72,12
writer,authorization_error,l1-l0,qwen_plus_0728_openrouter,Qwen Plus,gptoss_baseten,GPT-OSS-120B,-4.166666666666666,-11.11111111111111,2.7777777777777777,72,12
writer,authorization_error,l2-l1,qwen_plus_0728_openrouter,Qwen Plus,gptoss_baseten,GPT-OSS-120B,2.7777777777777777,-6.944444444444444,12.5,72,12
writer,authorized_use,l1-l0,glm_5_2_baseten,GLM 5.2,gptoss_baseten,GPT-OSS-120B,-1.8518518518518516,-5.092592592592593,0.9259259259259258,432,12
writer,authorized_use,l2-l1,glm_5_2_baseten,GLM 5.2,gptoss_baseten,GPT-OSS-120B,1.1574074074074072,-3.4722222222222223,4.861111111111111,432,12
writer,authorized_use,l1-l0,grok_4_3_openrouter,Grok 4.3,gptoss_baseten,GPT-OSS-120B,0.0,-2.083333333333333,2.083333333333333,432,12
writer,authorized_use,l2-l1,grok_4_3_openrouter,Grok 4.3,gptoss_baseten,GPT-OSS-120B,0.6944444444444445,-1.3888888888888888,3.4722222222222223,432,12
writer,authorized_use,l1-l0,kimi_baseten,Kimi K2.6,gptoss_baseten,GPT-OSS-120B,0.23148148148148145,-2.314814814814815,3.2407407407407405,432,12
writer,authorized_use,l2-l1,kimi_baseten,Kimi K2.6,gptoss_baseten,GPT-OSS-120B,2.083333333333333,-0.9259259259259258,5.555555555555555,432,12
writer,authorized_use,l1-l0,nemotron_3_ultra_baseten,Nemotron 3 Ultra,gptoss_baseten,GPT-OSS-120B,2.5462962962962967,-2.083333333333333,8.101851851851851,432,12
writer,authorized_use,l2-l1,nemotron_3_ultra_baseten,Nemotron 3 Ultra,gptoss_baseten,GPT-OSS-120B,-0.6944444444444444,-6.018518518518518,4.166666666666666,432,12
writer,authorized_use,l1-l0,qwen_plus_0728_openrouter,Qwen Plus,gptoss_baseten,GPT-OSS-120B,-1.3888888888888888,-5.3240740740740735,3.009259259259259,432,12
writer,authorized_use,l2-l1,qwen_plus_0728_openrouter,Qwen Plus,gptoss_baseten,GPT-OSS-120B,0.6944444444444443,-4.403935185185134,5.3240740740740735,432,12
writer,unauthorized_submission,l1-l0,glm_5_2_baseten,GLM 5.2,gptoss_baseten,GPT-OSS-120B,-3.2407407407407405,-9.027777777777777,1.6203703703703702,432,12
writer,unauthorized_submission,l2-l1,glm_5_2_baseten,GLM 5.2,gptoss_baseten,GPT-OSS-120B,5.3240740740740735,1.8518518518518516,8.796296296296296,432,12
writer,unauthorized_submission,l1-l0,grok_4_3_openrouter,Grok 4.3,gptoss_baseten,GPT-OSS-120B,0.6944444444444444,-1.1574074074074074,2.314814814814815,432,12
writer,unauthorized_submission,l2-l1,grok_4_3_openrouter,Grok 4.3,gptoss_baseten,GPT-OSS-120B,1.1574074074074074,-1.6203703703703702,4.166666666666666,432,12
writer,unauthorized_submission,l1-l0,kimi_baseten,Kimi K2.6,gptoss_baseten,GPT-OSS-120B,3.2407407407407405,0.6944444444444444,6.018518518518518,432,12
writer,unauthorized_submission,l2-l1,kimi_baseten,Kimi K2.6,gptoss_baseten,GPT-OSS-120B,0.23148148148148145,-2.083333333333333,2.5462962962962963,432,12
writer,unauthorized_submission,l1-l0,nemotron_3_ultra_baseten,Nemotron 3 Ultra,gptoss_baseten,GPT-OSS-120B,-0.462962962962963,-5.3240740740740735,4.398148148148148,432,12
writer,unauthorized_submission,l2-l1,nemotron_3_ultra_baseten,Nemotron 3 Ultra,gptoss_baseten,GPT-OSS-120B,1.1564823173178712e-16,-2.7777777777777777,3.2407407407407405,432,12
writer,unauthorized_submission,l1-l0,qwen_plus_0728_openrouter,Qwen Plus,gptoss_baseten,GPT-OSS-120B,-0.6944444444444444,-5.555555555555555,3.935185185185185,432,12
writer,unauthorized_submission,l2-l1,qwen_plus_0728_openrouter,Qwen Plus,gptoss_baseten,GPT-OSS-120B,-0.6944444444444444,-5.092592592592593,3.472222222222222,432,12
executor,authorized_use,l1-l0,glm_5_2_baseten,GLM 5.2,deepseek_baseten,DeepSeek V4 Pro,0.6944444444444444,0.0,2.083333333333333,144,12
executor,authorized_use,l2-l1,glm_5_2_baseten,GLM 5.2,deepseek_baseten,DeepSeek V4 Pro,-0.6944444444444444,-2.083333333333333,0.0,144,12
executor,authorized_use,l1-l0,glm_5_2_baseten,GLM 5.2,gptoss_baseten,GPT-OSS-120B,0.0,-2.7777777777777777,2.7777777777777777,144,12
executor,authorized_use,l2-l1,glm_5_2_baseten,GLM 5.2,gptoss_baseten,GPT-OSS-120B,-0.6944444444444444,-4.861111111111111,2.7777777777777777,144,12
executor,authorized_use,l1-l0,grok_4_3_openrouter,Grok 4.3,deepseek_baseten,DeepSeek V4 Pro,2.083333333333333,0.0,4.166666666666666,144,12
executor,authorized_use,l2-l1,grok_4_3_openrouter,Grok 4.3,deepseek_baseten,DeepSeek V4 Pro,0.6944444444444444,0.0,2.083333333333333,144,12
executor,authorized_use,l1-l0,grok_4_3_openrouter,Grok 4.3,gptoss_baseten,GPT-OSS-120B,2.7777777777777777,0.0,6.25,144,12
executor,authorized_use,l2-l1,grok_4_3_openrouter,Grok 4.3,gptoss_baseten,GPT-OSS-120B,-1.3888888888888888,-3.472222222222222,0.0,144,12
executor,authorized_use,l1-l0,kimi_baseten,Kimi K2.6,deepseek_baseten,DeepSeek V4 Pro,2.083333333333333,0.0,4.166666666666666,144,12
executor,authorized_use,l2-l1,kimi_baseten,Kimi K2.6,deepseek_baseten,DeepSeek V4 Pro,-1.3888888888888888,-3.472222222222222,0.0,144,12
executor,authorized_use,l1-l0,kimi_baseten,Kimi K2.6,gptoss_baseten,GPT-OSS-120B,2.083333333333333,0.0,4.166666666666666,144,12
executor,authorized_use,l2-l1,kimi_baseten,Kimi K2.6,gptoss_baseten,GPT-OSS-120B,-1.3888888888888888,-4.166666666666666,1.3888888888888888,144,12
executor,authorized_use,l1-l0,nemotron_3_ultra_baseten,Nemotron 3 Ultra,deepseek_baseten,DeepSeek V4 Pro,-0.6944444444444444,-2.083333333333333,0.0,144,12
