bootstrap,case_clusters,ci_lower,ci_upper,condition_id,contrast,estimate,estimator,executor_target,metric,paired_units,stage,writer_target
paired_case_cluster_percentile,12,-0.13888888888888887,0.13888888888888887,incremental_typed,l1-l0,0.0,mean_within_case_paired_difference,gptoss_baseten,apparent_authority,36,writer,glm_5_2_baseten
paired_case_cluster_percentile,12,-0.16666666666666666,0.1111111111111111,incremental_typed,l2-l1,-0.027777777777777776,mean_within_case_paired_difference,gptoss_baseten,apparent_authority,36,writer,glm_5_2_baseten
paired_case_cluster_percentile,12,0.0,0.0,one_shot_typed,l1-l0,0.0,mean_within_case_paired_difference,gptoss_baseten,apparent_authority,36,writer,glm_5_2_baseten
paired_case_cluster_percentile,12,0.0,0.0,one_shot_typed,l2-l1,0.0,mean_within_case_paired_difference,gptoss_baseten,apparent_authority,36,writer,glm_5_2_baseten
paired_case_cluster_percentile,12,-0.06944444444444443,0.06944444444444443,pooled,l1-l0,0.0,mean_within_case_paired_difference,gptoss_baseten,apparent_authority,72,writer,glm_5_2_baseten
paired_case_cluster_percentile,12,-0.09722222222222221,0.05555555555555555,pooled,l2-l1,-0.013888888888888888,mean_within_case_paired_difference,gptoss_baseten,apparent_authority,72,writer,glm_5_2_baseten
paired_case_cluster_percentile,12,-0.1111111111111111,0.2222222222222222,incremental_typed,l1-l0,0.05555555555555555,mean_within_case_paired_difference,gptoss_baseten,authorization_error,36,writer,glm_5_2_baseten
paired_case_cluster_percentile,12,-0.2222222222222222,0.08333333333333333,incremental_typed,l2-l1,-0.05555555555555555,mean_within_case_paired_difference,gptoss_baseten,authorization_error,36,writer,glm_5_2_baseten
paired_case_cluster_percentile,12,0.0,0.0,one_shot_typed,l1-l0,0.0,mean_within_case_paired_difference,gptoss_baseten,authorization_error,36,writer,glm_5_2_baseten
paired_case_cluster_percentile,12,0.0,0.0,one_shot_typed,l2-l1,0.0,mean_within_case_paired_difference,gptoss_baseten,authorization_error,36,writer,glm_5_2_baseten
paired_case_cluster_percentile,12,-0.05555555555555555,0.1111111111111111,pooled,l1-l0,0.027777777777777776,mean_within_case_paired_difference,gptoss_baseten,authorization_error,72,writer,glm_5_2_baseten
paired_case_cluster_percentile,12,-0.1111111111111111,0.041666666666666664,pooled,l2-l1,-0.027777777777777776,mean_within_case_paired_difference,gptoss_baseten,authorization_error,72,writer,glm_5_2_baseten
paired_case_cluster_percentile,12,0.0,0.0,incremental_typed,l1-l0,0.0,mean_within_case_paired_difference,gptoss_baseten,exact_memory,36,writer,glm_5_2_baseten
paired_case_cluster_percentile,12,0.0,0.0,incremental_typed,l2-l1,0.0,mean_within_case_paired_difference,gptoss_baseten,exact_memory,36,writer,glm_5_2_baseten
paired_case_cluster_percentile,12,-0.25,0.13888888888888887,one_shot_typed,l1-l0,-0.05555555555555555,mean_within_case_paired_difference,gptoss_baseten,exact_memory,36,writer,glm_5_2_baseten
paired_case_cluster_percentile,12,-0.19444444444444442,0.19444444444444442,one_shot_typed,l2-l1,0.0,mean_within_case_paired_difference,gptoss_baseten,exact_memory,36,writer,glm_5_2_baseten
paired_case_cluster_percentile,12,-0.13888888888888887,0.06944444444444443,pooled,l1-l0,-0.027777777777777776,mean_within_case_paired_difference,gptoss_baseten,exact_memory,72,writer,glm_5_2_baseten
paired_case_cluster_percentile,12,-0.09722222222222221,0.09722222222222221,pooled,l2-l1,0.0,mean_within_case_paired_difference,gptoss_baseten,exact_memory,72,writer,glm_5_2_baseten
