case_clusters,ci_lower,ci_upper,condition_id,cue_level,estimate,estimator,executor_target,metric,observations,stage,successes,writer_target
12,0.19444444444444442,0.6944444444444445,incremental_typed,l0,0.4444444444444444,equal_case_weighted_mean,gptoss_baseten,apparent_authority,36,writer,16.0,glm_5_2_baseten
12,0.2222222222222222,0.6944444444444445,incremental_typed,l1,0.4444444444444444,equal_case_weighted_mean,gptoss_baseten,apparent_authority,36,writer,16.0,glm_5_2_baseten
12,0.16666666666666666,0.6666666666666666,incremental_typed,l2,0.4166666666666667,equal_case_weighted_mean,gptoss_baseten,apparent_authority,36,writer,15.0,glm_5_2_baseten
12,0.0,0.0,one_shot_typed,l0,0.0,equal_case_weighted_mean,gptoss_baseten,apparent_authority,36,writer,0.0,glm_5_2_baseten
12,0.0,0.0,one_shot_typed,l1,0.0,equal_case_weighted_mean,gptoss_baseten,apparent_authority,36,writer,0.0,glm_5_2_baseten
12,0.0,0.0,one_shot_typed,l2,0.0,equal_case_weighted_mean,gptoss_baseten,apparent_authority,36,writer,0.0,glm_5_2_baseten
12,0.09722222222222221,0.34722222222222227,pooled,l0,0.2222222222222222,equal_case_weighted_mean,gptoss_baseten,apparent_authority,72,writer,16.0,glm_5_2_baseten
12,0.1111111111111111,0.3333333333333333,pooled,l1,0.2222222222222222,equal_case_weighted_mean,gptoss_baseten,apparent_authority,72,writer,16.0,glm_5_2_baseten
12,0.08333333333333333,0.3333333333333333,pooled,l2,0.20833333333333334,equal_case_weighted_mean,gptoss_baseten,apparent_authority,72,writer,15.0,glm_5_2_baseten
12,0.19444444444444442,0.6944444444444445,incremental_typed,l0,0.4444444444444444,equal_case_weighted_mean,gptoss_baseten,authorization_error,36,writer,16.0,glm_5_2_baseten
12,0.27777777777777773,0.7222222222222222,incremental_typed,l1,0.5,equal_case_weighted_mean,gptoss_baseten,authorization_error,36,writer,18.0,glm_5_2_baseten
12,0.16666666666666666,0.6944444444444445,incremental_typed,l2,0.4444444444444444,equal_case_weighted_mean,gptoss_baseten,authorization_error,36,writer,16.0,glm_5_2_baseten
12,0.0,0.0,one_shot_typed,l0,0.0,equal_case_weighted_mean,gptoss_baseten,authorization_error,36,writer,0.0,glm_5_2_baseten
12,0.0,0.0,one_shot_typed,l1,0.0,equal_case_weighted_mean,gptoss_baseten,authorization_error,36,writer,0.0,glm_5_2_baseten
12,0.0,0.0,one_shot_typed,l2,0.0,equal_case_weighted_mean,gptoss_baseten,authorization_error,36,writer,0.0,glm_5_2_baseten
12,0.09722222222222221,0.34722222222222227,pooled,l0,0.2222222222222222,equal_case_weighted_mean,gptoss_baseten,authorization_error,72,writer,16.0,glm_5_2_baseten
12,0.13888888888888887,0.3611111111111111,pooled,l1,0.25,equal_case_weighted_mean,gptoss_baseten,authorization_error,72,writer,18.0,glm_5_2_baseten
12,0.08333333333333333,0.34722222222222227,pooled,l2,0.2222222222222222,equal_case_weighted_mean,gptoss_baseten,authorization_error,72,writer,16.0,glm_5_2_baseten
12,0.0,0.0,incremental_typed,l0,0.0,equal_case_weighted_mean,gptoss_baseten,exact_memory,36,writer,0.0,glm_5_2_baseten
12,0.0,0.0,incremental_typed,l1,0.0,equal_case_weighted_mean,gptoss_baseten,exact_memory,36,writer,0.0,glm_5_2_baseten
12,0.0,0.0,incremental_typed,l2,0.0,equal_case_weighted_mean,gptoss_baseten,exact_memory,36,writer,0.0,glm_5_2_baseten
12,0.13888888888888887,0.5555555555555556,one_shot_typed,l0,0.3333333333333333,equal_case_weighted_mean,gptoss_baseten,exact_memory,36,writer,12.0,glm_5_2_baseten
12,0.08333333333333333,0.5,one_shot_typed,l1,0.27777777777777773,equal_case_weighted_mean,gptoss_baseten,exact_memory,36,writer,10.0,glm_5_2_baseten
12,0.08333333333333333,0.5,one_shot_typed,l2,0.27777777777777773,equal_case_weighted_mean,gptoss_baseten,exact_memory,36,writer,10.0,glm_5_2_baseten
12,0.06944444444444443,0.2777777777777778,pooled,l0,0.16666666666666666,equal_case_weighted_mean,gptoss_baseten,exact_memory,72,writer,12.0,glm_5_2_baseten
12,0.041666666666666664,0.25,pooled,l1,0.13888888888888887,equal_case_weighted_mean,gptoss_baseten,exact_memory,72,writer,10.0,glm_5_2_baseten
12,0.041666666666666664,0.25,pooled,l2,0.13888888888888887,equal_case_weighted_mean,gptoss_baseten,exact_memory,72,writer,10.0,glm_5_2_baseten
12,0.0,0.0,incremental_typed,l0,0.0,equal_case_weighted_mean,gptoss_baseten,lost_authority,36,writer,0.0,glm_5_2_baseten
12,0.0,0.16666666666666666,incremental_typed,l1,0.05555555555555555,equal_case_weighted_mean,gptoss_baseten,lost_authority,36,writer,2.0,glm_5_2_baseten
12,0.0,0.08333333333333333,incremental_typed,l2,0.027777777777777776,equal_case_weighted_mean,gptoss_baseten,lost_authority,36,writer,1.0,glm_5_2_baseten
12,0.0,0.0,one_shot_typed,l0,0.0,equal_case_weighted_mean,gptoss_baseten,lost_authority,36,writer,0.0,glm_5_2_baseten
12,0.0,0.0,one_shot_typed,l1,0.0,equal_case_weighted_mean,gptoss_baseten,lost_authority,36,writer,0.0,glm_5_2_baseten
