condition_id,correct_origin_transitions,cue_level,error_introduction_rate,error_introductions,error_persistence_rate,error_persistences,final_error_rate,incorrect_origin_transitions,initial_error_rate,metric,self_repair_rate,state_observations,trajectories,writer_target
incremental_typed,54,l0,0.07407407407407407,4,,0,0.3333333333333333,0,0.0,authorization_error,,66,12,nemotron_3_ultra_baseten
incremental_typed,43,l0,0.13953488372093023,6,1.0,11,0.5833333333333334,11,0.08333333333333333,semantic_error,0.0,66,12,nemotron_3_ultra_baseten
incremental_typed,54,l0,0.1111111111111111,6,,0,0.5,0,0.0,authorization_error,,66,12,grok_4_3_openrouter
incremental_typed,48,l0,0.1875,9,1.0,6,0.75,6,0.0,semantic_error,0.0,66,12,grok_4_3_openrouter
incremental_typed,54,l0,0.07407407407407407,4,,0,0.3333333333333333,0,0.0,authorization_error,,66,12,glm_5_2_baseten
incremental_typed,46,l0,0.15217391304347827,7,1.0,8,0.5833333333333334,8,0.0,semantic_error,0.0,66,12,glm_5_2_baseten
incremental_typed,54,l0,0.1111111111111111,6,,0,0.5,0,0.0,authorization_error,,66,12,qwen_plus_0728_openrouter
incremental_typed,50,l0,0.12,6,1.0,4,0.5833333333333334,4,0.08333333333333333,semantic_error,0.0,66,12,qwen_plus_0728_openrouter
incremental_typed,54,l0,0.12962962962962962,7,,0,0.5833333333333334,0,0.0,authorization_error,,66,12,kimi_baseten
incremental_typed,48,l0,0.16666666666666666,8,1.0,6,0.6666666666666666,6,0.0,semantic_error,0.0,66,12,kimi_baseten
incremental_typed,54,l0,0.1111111111111111,6,,0,0.5,0,0.0,authorization_error,,66,12,nemotron_3_ultra_baseten
incremental_typed,43,l0,0.16279069767441862,7,1.0,11,0.6666666666666666,11,0.08333333333333333,semantic_error,0.0,66,12,nemotron_3_ultra_baseten
incremental_typed,54,l0,0.09259259259259259,5,,0,0.4166666666666667,0,0.0,authorization_error,,66,12,grok_4_3_openrouter
incremental_typed,47,l0,0.14893617021276595,7,1.0,7,0.5833333333333334,7,0.0,semantic_error,0.0,66,12,grok_4_3_openrouter
incremental_typed,54,l0,0.1111111111111111,6,,0,0.5,0,0.0,authorization_error,,66,12,glm_5_2_baseten
incremental_typed,48,l0,0.14583333333333334,7,1.0,6,0.5833333333333334,6,0.0,semantic_error,0.0,66,12,glm_5_2_baseten
incremental_typed,54,l0,0.09259259259259259,5,,0,0.4166666666666667,0,0.0,authorization_error,,66,12,qwen_plus_0728_openrouter
incremental_typed,42,l0,0.16666666666666666,7,1.0,12,0.75,12,0.16666666666666666,semantic_error,0.0,66,12,qwen_plus_0728_openrouter
incremental_typed,54,l0,0.14814814814814814,8,,0,0.6666666666666666,0,0.0,authorization_error,,66,12,kimi_baseten
incremental_typed,51,l0,0.19607843137254902,10,1.0,3,0.8333333333333334,3,0.0,semantic_error,0.0,66,12,kimi_baseten
incremental_typed,53,l0,0.11320754716981132,6,1.0,1,0.5,1,0.0,authorization_error,0.0,66,12,nemotron_3_ultra_baseten
incremental_typed,44,l0,0.18181818181818182,8,1.0,10,0.75,10,0.08333333333333333,semantic_error,0.0,66,12,nemotron_3_ultra_baseten
incremental_typed,54,l0,0.1111111111111111,6,,0,0.5,0,0.0,authorization_error,,66,12,grok_4_3_openrouter
incremental_typed,50,l0,0.14,7,1.0,4,0.5833333333333334,4,0.0,semantic_error,0.0,66,12,grok_4_3_openrouter
incremental_typed,54,l0,0.1111111111111111,6,,0,0.5,0,0.0,authorization_error,,66,12,glm_5_2_baseten
incremental_typed,49,l0,0.16326530612244897,8,0.8,4,0.6666666666666666,5,0.08333333333333333,semantic_error,0.2,66,12,glm_5_2_baseten
incremental_typed,51,l0,0.11764705882352941,6,1.0,3,0.5,3,0.0,authorization_error,0.0,66,12,qwen_plus_0728_openrouter
incremental_typed,42,l0,0.16666666666666666,7,1.0,12,0.6666666666666666,12,0.08333333333333333,semantic_error,0.0,66,12,qwen_plus_0728_openrouter
incremental_typed,54,l0,0.14814814814814814,8,,0,0.6666666666666666,0,0.0,authorization_error,,66,12,kimi_baseten
incremental_typed,49,l0,0.1836734693877551,9,1.0,5,0.75,5,0.0,semantic_error,0.0,66,12,kimi_baseten
incremental_typed,54,l1,0.1111111111111111,6,,0,0.5,0,0.0,authorization_error,,66,12,grok_4_3_openrouter
incremental_typed,48,l1,0.1875,9,1.0,6,0.75,6,0.0,semantic_error,0.0,66,12,grok_4_3_openrouter
incremental_typed,54,l1,0.07407407407407407,4,,0,0.3333333333333333,0,0.0,authorization_error,,66,12,nemotron_3_ultra_baseten
incremental_typed,44,l1,0.13636363636363635,6,1.0,10,0.5,10,0.0,semantic_error,0.0,66,12,nemotron_3_ultra_baseten
incremental_typed,54,l1,0.09259259259259259,5,,0,0.4166666666666667,0,0.0,authorization_error,,66,12,qwen_plus_0728_openrouter
incremental_typed,51,l1,0.11764705882352941,6,1.0,3,0.5,3,0.0,semantic_error,0.0,66,12,qwen_plus_0728_openrouter
incremental_typed,54,l1,0.1111111111111111,6,,0,0.5,0,0.0,authorization_error,,66,12,glm_5_2_baseten
incremental_typed,41,l1,0.1951219512195122,8,1.0,13,0.75,13,0.08333333333333333,semantic_error,0.0,66,12,glm_5_2_baseten
incremental_typed,54,l1,0.09259259259259259,5,,0,0.4166666666666667,0,0.0,authorization_error,,66,12,kimi_baseten
incremental_typed,52,l1,0.11538461538461539,6,1.0,2,0.5,2,0.0,semantic_error,0.0,66,12,kimi_baseten
incremental_typed,54,l1,0.09259259259259259,5,,0,0.4166666666666667,0,0.0,authorization_error,,66,12,grok_4_3_openrouter
incremental_typed,49,l1,0.16326530612244897,8,1.0,5,0.6666666666666666,5,0.0,semantic_error,0.0,66,12,grok_4_3_openrouter
incremental_typed,54,l1,0.09259259259259259,5,,0,0.4166666666666667,0,0.0,authorization_error,,66,12,nemotron_3_ultra_baseten
incremental_typed,50,l1,0.14,7,1.0,4,0.5833333333333334,4,0.0,semantic_error,0.0,66,12,nemotron_3_ultra_baseten
incremental_typed,54,l1,0.09259259259259259,5,,0,0.4166666666666667,0,0.0,authorization_error,,66,12,glm_5_2_baseten
incremental_typed,46,l1,0.1956521739130435,9,1.0,8,0.75,8,0.0,semantic_error,0.0,66,12,glm_5_2_baseten
incremental_typed,54,l1,0.09259259259259259,5,,0,0.4166666666666667,0,0.0,authorization_error,,66,12,qwen_plus_0728_openrouter
incremental_typed,52,l1,0.1346153846153846,7,1.0,2,0.5833333333333334,2,0.0,semantic_error,0.0,66,12,qwen_plus_0728_openrouter
incremental_typed,53,l1,0.1320754716981132,7,1.0,1,0.5833333333333334,1,0.0,authorization_error,0.0,66,12,kimi_baseten
incremental_typed,50,l1,0.16,8,1.0,4,0.6666666666666666,4,0.0,semantic_error,0.0,66,12,kimi_baseten
incremental_typed,54,l1,0.07407407407407407,4,,0,0.3333333333333333,0,0.0,authorization_error,,66,12,grok_4_3_openrouter
incremental_typed,50,l1,0.12,6,1.0,4,0.5,4,0.0,semantic_error,0.0,66,12,grok_4_3_openrouter
incremental_typed,54,l1,0.09259259259259259,5,,0,0.4166666666666667,0,0.0,authorization_error,,66,12,nemotron_3_ultra_baseten
incremental_typed,43,l1,0.18604651162790697,8,1.0,11,0.75,11,0.08333333333333333,semantic_error,0.0,66,12,nemotron_3_ultra_baseten
