k,condition_id,writers,memory_observations,semantic_fidelity_rate,authorization_error_rate,apparent_authority_rate,lost_authority_rate,mean_semantic_field_errors,mean_overgrant_fields,mean_undergrant_fields,deterministic_scope
1,one_shot_typed,5,60,0.6833333333333333,0.05,0.05,0.0,0.4666666666666667,0.18333333333333332,0.06666666666666667,typed_only
1,incremental_typed,5,60,0.36666666666666664,0.48333333333333334,0.4666666666666667,0.016666666666666666,1.5666666666666667,1.1833333333333333,0.21666666666666667,typed_only
1,typed_pooled,5,120,0.525,0.26666666666666666,0.25833333333333336,0.008333333333333333,1.0166666666666666,0.6833333333333333,0.14166666666666666,typed_only
2,one_shot_typed,5,60,0.7166666666666667,0.05,0.05,0.0,0.5166666666666667,0.25,0.1,typed_only
2,incremental_typed,5,60,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,1.4166666666666667,1.0166666666666666,0.26666666666666666,typed_only
2,typed_pooled,5,120,0.575,0.24166666666666667,0.24166666666666667,0.0,0.9666666666666667,0.6333333333333333,0.18333333333333332,typed_only
4,one_shot_typed,5,60,0.6666666666666666,0.03333333333333333,0.03333333333333333,0.0,0.5833333333333334,0.25,0.11666666666666667,typed_only
4,incremental_typed,5,60,0.43333333333333335,0.38333333333333336,0.36666666666666664,0.016666666666666666,1.3833333333333333,0.9166666666666666,0.3,typed_only
4,typed_pooled,5,120,0.55,0.20833333333333334,0.2,0.008333333333333333,0.9833333333333333,0.5833333333333334,0.20833333333333334,typed_only
8,one_shot_typed,5,60,0.6,0.03333333333333333,0.03333333333333333,0.0,0.7666666666666667,0.3333333333333333,0.18333333333333332,typed_only
8,incremental_typed,5,60,0.48333333333333334,0.3333333333333333,0.3333333333333333,0.0,1.2,0.7833333333333333,0.25,typed_only
8,typed_pooled,5,120,0.5416666666666666,0.18333333333333332,0.18333333333333332,0.0,0.9833333333333333,0.5583333333333333,0.21666666666666667,typed_only
