writer_label,writer_target,free_text_oracle_regret,k,mean_full_fidelity_selection_regret,mean_full_fidelity_selection_regret_on_successful_reviews,mean_selection_regret,mean_selection_regret_on_successful_reviews,oracle_best_mean_field_errors,oracle_best_mean_semantic_field_errors,pool_contains_exact_rate,pool_contains_full_fidelity_exact_rate,reviewer_attempted_pools,reviewer_failure_rate,reviewer_full_fidelity_oracle_hit_rate,reviewer_full_fidelity_oracle_hit_rate_on_successful_reviews,reviewer_oracle_hit_rate,reviewer_oracle_hit_rate_on_successful_reviews,reviewer_selected_exact_rate,reviewer_selected_full_fidelity_exact_rate,reviewer_successful_pools,reviewer_successful_typed_pools,reviewer_typed_failure_rate,selected_mean_field_errors,selected_mean_semantic_field_errors,typed_pools
Qwen Plus,qwen_plus_0728_openrouter,undefined,1,0.0,,0.0,,1.6666666666666667,0.8333333333333334,0.5,0.25,0,,1.0,,1.0,,0.5,0.25,0,0,,1.6666666666666667,0.8333333333333334,24
Qwen Plus,qwen_plus_0728_openrouter,undefined,2,0.2916666666666667,0.2916666666666667,0.08333333333333333,0.08333333333333333,1.2916666666666667,0.7083333333333334,0.5833333333333334,0.4166666666666667,48,0.0,0.7916666666666666,0.7916666666666666,0.9166666666666666,0.9166666666666666,0.5833333333333334,0.3333333333333333,48,24,0.0,1.5833333333333333,0.7916666666666666,24
Qwen Plus,qwen_plus_0728_openrouter,undefined,4,0.7916666666666666,0.7916666666666666,0.3333333333333333,0.3333333333333333,1.0,0.5833333333333334,0.625,0.5833333333333334,48,0.0,0.4583333333333333,0.4583333333333333,0.7916666666666666,0.7916666666666666,0.5,0.25,48,24,0.0,1.7916666666666667,0.9166666666666666,24
Qwen Plus,qwen_plus_0728_openrouter,undefined,8,0.9583333333333334,1.0454545454545454,0.4166666666666667,0.45454545454545453,0.875,0.4583333333333333,0.75,0.5833333333333334,48,0.04166666666666663,0.2916666666666667,0.22727272727272727,0.7083333333333334,0.6818181818181818,0.5416666666666666,0.125,46,22,0.08333333333333337,1.8333333333333333,0.875,24
Nemotron 3 Ultra,nemotron_3_ultra_baseten,undefined,1,0.0,,0.0,,1.7916666666666667,1.0833333333333333,0.5416666666666666,0.375,0,,1.0,,1.0,,0.5416666666666666,0.375,0,0,,1.7916666666666667,1.0833333333333333,24
Nemotron 3 Ultra,nemotron_3_ultra_baseten,undefined,2,0.5,0.5217391304347826,0.375,0.391304347826087,1.3333333333333333,0.7083333333333334,0.6666666666666666,0.4583333333333333,48,0.04166666666666663,0.8333333333333334,0.8260869565217391,0.875,0.8695652173913043,0.5416666666666666,0.3333333333333333,46,23,0.04166666666666663,1.8333333333333333,1.0833333333333333,24
Nemotron 3 Ultra,nemotron_3_ultra_baseten,undefined,4,0.75,0.3125,0.5,0.0625,1.125,0.5833333333333334,0.75,0.5416666666666666,48,0.33333333333333337,0.625,0.75,0.7916666666666666,0.9375,0.5416666666666666,0.2916666666666667,32,16,0.33333333333333337,1.875,1.0833333333333333,24
Nemotron 3 Ultra,nemotron_3_ultra_baseten,undefined,8,1.25,1.25,0.8333333333333334,0.8333333333333334,0.7083333333333334,0.3333333333333333,0.8333333333333334,0.6666666666666666,48,0.0,0.375,0.375,0.5416666666666666,0.5416666666666666,0.4583333333333333,0.25,48,24,0.0,1.9583333333333333,1.1666666666666667,24
Grok 4.3,grok_4_3_openrouter,undefined,1,0.0,,0.0,,1.5,0.9583333333333334,0.5416666666666666,0.4166666666666667,0,,1.0,,1.0,,0.5416666666666666,0.4166666666666667,0,0,,1.5,0.9583333333333334,24
Grok 4.3,grok_4_3_openrouter,undefined,2,0.16666666666666666,0.16666666666666666,0.041666666666666664,0.041666666666666664,1.2083333333333333,0.7916666666666666,0.5833333333333334,0.5416666666666666,48,0.125,0.8333333333333334,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.5833333333333334,0.5,42,24,0.0,1.375,0.8333333333333334,24
Grok 4.3,grok_4_3_openrouter,undefined,4,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.6666666666666666,0.625,0.5833333333333334,48,0.08333333333333337,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.625,0.5,44,24,0.0,1.3333333333333333,0.75,24
Grok 4.3,grok_4_3_openrouter,undefined,8,0.3333333333333333,0.3333333333333333,0.041666666666666664,0.041666666666666664,1.0,0.6666666666666666,0.625,0.5833333333333334,48,0.0625,0.6666666666666666,0.6666666666666666,0.9583333333333334,0.9583333333333334,0.625,0.5,45,24,0.0,1.3333333333333333,0.7083333333333334,24
Kimi K2.6,kimi_baseten,undefined,1,0.0,,0.0,,2.0,1.1666666666666667,0.4583333333333333,0.2916666666666667,0,,1.0,,1.0,,0.4583333333333333,0.2916666666666667,0,0,,2.0,1.1666666666666667,24
Kimi K2.6,kimi_baseten,undefined,2,0.25,0.25,0.08333333333333333,0.08333333333333333,1.5,0.8333333333333334,0.6666666666666666,0.4166666666666667,48,0.0,0.8333333333333334,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.6666666666666666,0.3333333333333333,48,24,0.0,1.75,0.9166666666666666,24
Kimi K2.6,kimi_baseten,undefined,4,0.6666666666666666,0.6818181818181818,0.4166666666666667,0.4090909090909091,1.125,0.5416666666666666,0.75,0.4583333333333333,48,0.0625,0.625,0.6363636363636364,0.75,0.7727272727272727,0.5833333333333334,0.2916666666666667,45,22,0.08333333333333337,1.7916666666666667,0.9583333333333334,24
Kimi K2.6,kimi_baseten,undefined,8,0.75,0.75,0.5416666666666666,0.5416666666666666,0.9166666666666666,0.375,0.7916666666666666,0.5,48,0.0,0.625,0.625,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.2916666666666667,48,24,0.0,1.6666666666666667,0.9166666666666666,24
GLM 5.2,glm_5_2_baseten,undefined,1,0.0,,0.0,,1.9166666666666667,1.0416666666666667,0.5833333333333334,0.25,0,,1.0,,1.0,,0.5833333333333334,0.25,0,0,,1.9166666666666667,1.0416666666666667,24
