writer_label,writer_target,k,condition_id,memory_observations,semantic_fidelity_rate,authorization_error_rate,apparent_authority_rate,lost_authority_rate,mean_semantic_field_errors,mean_overgrant_fields,mean_undergrant_fields,deterministic_scope
Qwen Plus,qwen_plus_0728_openrouter,1,one_shot_typed,12,0.5,0.25,0.25,0.0,0.5833333333333334,0.3333333333333333,0.0,typed_only
Qwen Plus,qwen_plus_0728_openrouter,1,incremental_typed,12,0.5,0.3333333333333333,0.3333333333333333,0.0,1.0833333333333333,0.9166666666666666,0.08333333333333333,typed_only
Qwen Plus,qwen_plus_0728_openrouter,1,typed_pooled,24,0.5,0.2916666666666667,0.2916666666666667,0.0,0.8333333333333334,0.625,0.041666666666666664,typed_only
Qwen Plus,qwen_plus_0728_openrouter,2,one_shot_typed,12,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.0,0.5833333333333334,0.25,0.08333333333333333,typed_only
Qwen Plus,qwen_plus_0728_openrouter,2,incremental_typed,12,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.0,1.0,0.9166666666666666,0.08333333333333333,typed_only
Qwen Plus,qwen_plus_0728_openrouter,2,typed_pooled,24,0.5833333333333334,0.25,0.25,0.0,0.7916666666666666,0.5833333333333334,0.08333333333333333,typed_only
Qwen Plus,qwen_plus_0728_openrouter,4,one_shot_typed,12,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.08333333333333333,typed_only
Qwen Plus,qwen_plus_0728_openrouter,4,incremental_typed,12,0.4166666666666667,0.3333333333333333,0.25,0.08333333333333333,1.1666666666666667,0.8333333333333334,0.08333333333333333,typed_only
Qwen Plus,qwen_plus_0728_openrouter,4,typed_pooled,24,0.5,0.25,0.20833333333333334,0.041666666666666664,0.9166666666666666,0.5833333333333334,0.08333333333333333,typed_only
Qwen Plus,qwen_plus_0728_openrouter,8,one_shot_typed,12,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.08333333333333333,typed_only
Qwen Plus,qwen_plus_0728_openrouter,8,incremental_typed,12,0.5,0.25,0.25,0.0,1.0833333333333333,0.75,0.08333333333333333,typed_only
Qwen Plus,qwen_plus_0728_openrouter,8,typed_pooled,24,0.5416666666666666,0.20833333333333334,0.20833333333333334,0.0,0.875,0.5416666666666666,0.08333333333333333,typed_only
Nemotron 3 Ultra,nemotron_3_ultra_baseten,1,one_shot_typed,12,0.75,0.0,0.0,0.0,0.4166666666666667,0.16666666666666666,0.08333333333333333,typed_only
Nemotron 3 Ultra,nemotron_3_ultra_baseten,1,incremental_typed,12,0.3333333333333333,0.5,0.5,0.0,1.75,1.1666666666666667,0.25,typed_only
Nemotron 3 Ultra,nemotron_3_ultra_baseten,1,typed_pooled,24,0.5416666666666666,0.25,0.25,0.0,1.0833333333333333,0.6666666666666666,0.16666666666666666,typed_only
Nemotron 3 Ultra,nemotron_3_ultra_baseten,2,one_shot_typed,12,0.75,0.0,0.0,0.0,0.4166666666666667,0.16666666666666666,0.08333333333333333,typed_only
Nemotron 3 Ultra,nemotron_3_ultra_baseten,2,incremental_typed,12,0.3333333333333333,0.5,0.5,0.0,1.75,1.1666666666666667,0.25,typed_only
Nemotron 3 Ultra,nemotron_3_ultra_baseten,2,typed_pooled,24,0.5416666666666666,0.25,0.25,0.0,1.0833333333333333,0.6666666666666666,0.16666666666666666,typed_only
Nemotron 3 Ultra,nemotron_3_ultra_baseten,4,one_shot_typed,12,0.75,0.0,0.0,0.0,0.4166666666666667,0.16666666666666666,0.08333333333333333,typed_only
Nemotron 3 Ultra,nemotron_3_ultra_baseten,4,incremental_typed,12,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.0,1.75,1.0833333333333333,0.3333333333333333,typed_only
Nemotron 3 Ultra,nemotron_3_ultra_baseten,4,typed_pooled,24,0.5416666666666666,0.20833333333333334,0.20833333333333334,0.0,1.0833333333333333,0.625,0.20833333333333334,typed_only
Nemotron 3 Ultra,nemotron_3_ultra_baseten,8,one_shot_typed,12,0.5,0.0,0.0,0.0,1.0833333333333333,0.5,0.3333333333333333,typed_only
Nemotron 3 Ultra,nemotron_3_ultra_baseten,8,incremental_typed,12,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,1.25,0.8333333333333334,0.25,typed_only
Nemotron 3 Ultra,nemotron_3_ultra_baseten,8,typed_pooled,24,0.4583333333333333,0.20833333333333334,0.20833333333333334,0.0,1.1666666666666667,0.6666666666666666,0.2916666666666667,typed_only
