k,task,calls,successful_calls,error_calls,provider_reported_cost_usd,rate_derived_cost_usd,unpriced_calls_missing_usage
1,reused,0,0,0,0.0,0.0,0
2,writer,191,189,2,0.0,0.39984299999999995,2
2,memory_selector,48,48,0,0.0,0.13011059999999994,0
2,executor,288,288,0,0.0,0.08175169999999995,0
4,writer,383,378,5,0.0,0.7834289999999997,5
4,memory_selector,48,43,5,0.0,0.13283699999999998,5
4,executor,288,288,0,0.0,0.0829741,0
8,writer,778,767,11,0.0,1.6115759999999995,11
8,memory_selector,48,48,0,0.0,0.1846365,0
8,executor,288,288,0,0.0,0.0836425,0
