k,condition_id,memory_observations,semantic_fidelity_rate,authorization_error_rate,apparent_authority_rate,lost_authority_rate,mean_semantic_field_errors,mean_overgrant_fields,mean_undergrant_fields,deterministic_scope
1,one_shot_typed,12,0.75,0.0,0.0,0.0,0.4166666666666667,0.16666666666666666,0.08333333333333333,typed_only
1,incremental_typed,12,0.75,0.0,0.0,0.0,0.3333333333333333,0.08333333333333333,0.25,typed_only
1,typed_pooled,24,0.75,0.0,0.0,0.0,0.375,0.125,0.16666666666666666,typed_only
2,one_shot_typed,12,0.8333333333333334,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.08333333333333333,typed_only
2,incremental_typed,12,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0,0.25,0.16666666666666666,0.08333333333333333,typed_only
2,typed_pooled,24,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.0,0.2916666666666667,0.16666666666666666,0.08333333333333333,typed_only
4,one_shot_typed,12,0.8333333333333334,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.08333333333333333,typed_only
4,incremental_typed,12,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.0,0.8333333333333334,0.6666666666666666,0.16666666666666666,typed_only
4,typed_pooled,24,0.7083333333333334,0.16666666666666666,0.16666666666666666,0.0,0.5833333333333334,0.4166666666666667,0.125,typed_only
8,one_shot_typed,12,0.75,0.0,0.0,0.0,0.5,0.16666666666666666,0.16666666666666666,typed_only
8,incremental_typed,12,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.0,0.8333333333333334,0.6666666666666666,0.08333333333333333,typed_only
8,typed_pooled,24,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.4166666666666667,0.125,typed_only
