k,condition_id,writers,memory_observations,semantic_fidelity_rate,authorization_error_rate,apparent_authority_rate,lost_authority_rate,mean_semantic_field_errors,mean_overgrant_fields,mean_undergrant_fields,deterministic_scope
1,one_shot_typed,7,84,0.6904761904761905,0.05952380952380952,0.03571428571428571,0.023809523809523808,0.4642857142857143,0.15476190476190477,0.09523809523809523,typed_only
1,incremental_typed,7,84,0.39285714285714285,0.4166666666666667,0.39285714285714285,0.023809523809523808,1.4880952380952381,1.0476190476190477,0.2619047619047619,typed_only
1,typed_pooled,7,168,0.5416666666666666,0.23809523809523808,0.21428571428571427,0.023809523809523808,0.9761904761904762,0.6011904761904762,0.17857142857142858,typed_only
2,one_shot_typed,7,84,0.7261904761904762,0.03571428571428571,0.03571428571428571,0.0,0.4880952380952381,0.2261904761904762,0.09523809523809523,typed_only
2,incremental_typed,7,84,0.4523809523809524,0.40476190476190477,0.39285714285714285,0.011904761904761904,1.369047619047619,0.9404761904761905,0.27380952380952384,typed_only
2,typed_pooled,7,168,0.5892857142857143,0.22023809523809523,0.21428571428571427,0.005952380952380952,0.9285714285714286,0.5833333333333334,0.18452380952380953,typed_only
4,one_shot_typed,7,84,0.6904761904761905,0.023809523809523808,0.023809523809523808,0.0,0.5357142857142857,0.2261904761904762,0.10714285714285714,typed_only
4,incremental_typed,7,84,0.4166666666666667,0.39285714285714285,0.36904761904761907,0.023809523809523808,1.4285714285714286,0.9404761904761905,0.30952380952380953,typed_only
4,typed_pooled,7,168,0.5535714285714286,0.20833333333333334,0.19642857142857142,0.011904761904761904,0.9821428571428571,0.5833333333333334,0.20833333333333334,typed_only
8,one_shot_typed,7,84,0.6309523809523809,0.023809523809523808,0.023809523809523808,0.0,0.6904761904761905,0.2857142857142857,0.16666666666666666,typed_only
8,incremental_typed,7,84,0.4523809523809524,0.35714285714285715,0.34523809523809523,0.011904761904761904,1.2976190476190477,0.8452380952380952,0.2619047619047619,typed_only
8,typed_pooled,7,168,0.5416666666666666,0.19047619047619047,0.18452380952380953,0.005952380952380952,0.9940476190476191,0.5654761904761905,0.21428571428571427,typed_only
